,Geop100,Geop1000,Geop150,Geop200,Geop250,Geop300,Geop400,Geop500,Geop600,Geop700,Geop800,Geop850,Geop900,Geop925,Geop950,Geop975,Rela100,Rela1000,Rela150,Rela200,Rela250,Rela300,Rela400,Rela500,Rela600,Rela700,Rela800,Rela850,Rela900,Rela925,Rela950,Rela975,Temp100,Temp1000,Temp150,Temp200,Temp250,Temp300,Temp400,Temp500,Temp600,Temp700,Temp800,Temp850,Temp900,Temp925,Temp950,Temp975,Vert100,Vert1000,Vert150,Vert200,Vert250,Vert300,Vert400,Vert500,Vert600,Vert700,Vert800,Vert850,Vert900,Vert925,Vert950,Vert975,u-co100,u-co1000,u-co150,u-co200,u-co250,u-co300,u-co400,u-co500,u-co600,u-co700,u-co800,u-co850,u-co900,u-co925,u-co950,u-co975,v-co100,v-co1000,v-co150,v-co200,v-co250,v-co300,v-co400,v-co500,v-co600,v-co700,v-co800,v-co850,v-co900,v-co925,v-co950,v-co975
20170101120000,16604.2001953125,206.28929138183594,14210.5078125,12403.5419921875,10928.951171875,9664.095703125,7565.87744140625,5873.9189453125,4429.948974609375,3177.256591796875,2075.07421875,1573.845703125,1098.1367797851562,868.6234741210938,643.6298522949219,422.94256591796875,,58.1401891708374,,,,15.836970150470734,23.718601644039154,18.88454359769821,7.279835939407349,9.61105215549469,24.19939422607422,61.277963161468506,71.15714359283447,73.77290439605713,68.03260326385498,61.97837162017822,196.03170776367188,292.02906799316406,208.3553466796875,220.75613403320312,231.6555938720703,242.3225860595703,253.75311279296875,265.19276428222656,275.35296630859375,280.12933349609375,281.67626953125,282.2823944091797,284.3458557128906,285.85333251953125,287.9271697998047,290.0204315185547,-0.03442347049713135,0.26267457008361816,0.0753483772277832,0.0853109359741211,0.17011690139770508,0.17925453186035156,0.031189918518066406,-0.09470844268798828,-0.004077911376953125,-0.025177001953125,-0.0799551010131836,-0.10893774032592773,0.1621227264404297,0.23032522201538086,0.20285415649414062,0.20995521545410156,21.484428644180298,-6.215888977050781,37.172637939453125,37.76874923706055,36.599653244018555,36.51061725616455,30.33082914352417,18.128968000411987,12.367379665374756,4.712275981903076,-0.6814298629760742,-0.1527547836303711,-5.244166374206543,-6.960239410400391,-7.232276916503906,-7.051048278808594,-5.660244941711426,-1.2715873718261719,-0.4077568054199219,-6.875722885131836,0.9559192657470703,-0.05728912353515625,-1.2483787536621094,-1.5948047637939453,-2.3465747833251953,3.7137842178344727,-3.1875810623168945,-2.2038698196411133,-0.700139045715332,-0.7900190353393555,-0.9717931747436523,-1.1438608169555664
20170101060000,16593.2529296875,200.25730895996094,14194.5244140625,12387.01953125,10911.4345703125,9645.1611328125,7548.263671875,5854.68212890625,4413.789794921875,3167.547607421875,2067.8944091796875,1568.171142578125,1092.9254150390625,863.3211669921875,638.1180725097656,417.20538330078125,,55.332651138305664,,,,14.799320936203003,18.476232409477234,11.549904644489288,7.110769033432007,9.942761898040771,39.887346029281616,73.47780132293701,79.3991847038269,75.21503734588623,67.9517993927002,61.18287181854248,196.95986938476562,292.48509216308594,208.524658203125,220.47666931152344,232.01885986328125,242.42994689941406,254.12612915039062,265.12750244140625,274.21722412109375,279.5082244873047,280.1767883300781,281.81488037109375,284.1128234863281,286.0377502441406,288.1984558105469,290.35321044921875,-0.048388004302978516,0.25244736671447754,0.06819367408752441,0.038416385650634766,0.051763057708740234,0.06773567199707031,0.12464618682861328,0.18320465087890625,0.18150901794433594,0.04975318908691406,0.29576873779296875,0.22491073608398438,0.3159141540527344,0.33106517791748047,0.33611202239990234,0.3226628303527832,23.03190517425537,-5.616302490234375,37.37650108337402,38.880929946899414,35.75380325317383,32.74067783355713,28.98690128326416,19.510370016098022,11.915206551551819,1.9158239364624023,1.481104850769043,-1.1275405883789062,-4.412152290344238,-5.26115608215332,-5.548491477966309,-5.647997856140137,-6.44999885559082,-2.451462745666504,4.192041397094727,-4.134544372558594,1.822977066040039,-4.104692459106445,-2.858854293823242,-3.8805198669433594,-0.12328529357910156,5.792413711547852,0.06760215759277344,0.3607912063598633,-2.753401756286621,-2.8217105865478516,-2.6959657669067383,-2.580672264099121
20170101180000,16582.6533203125,187.0149154663086,14188.7099609375,12382.3837890625,10905.96484375,9642.626953125,7548.59912109375,5856.30224609375,4412.971435546875,3157.4755859375,2055.536376953125,1554.7322998046875,1079.5003662109375,849.9832153320312,624.7508544921875,403.8943176269531,,56.95674657821655,,,,16.49158865213394,33.707886815071106,46.437185645103455,8.284597039222717,10.750038862228394,53.5812292098999,58.152249336242676,77.33146667480469,74.19690418243408,67.45206642150879,61.20608425140381,196.19573974609375,292.337158203125,208.55653381347656,220.899658203125,231.54385375976562,241.91908264160156,253.62210083007812,265.04042053222656,275.00103759765625,281.16282653808594,280.5542907714844,282.37718200683594,284.0775451660156,286.0559387207031,288.18359375,290.304443359375,0.004480957984924316,0.1747288703918457,-0.023313045501708984,0.014633655548095703,0.07038021087646484,0.16391754150390625,0.15023326873779297,-0.03304576873779297,0.07428646087646484,-0.036212921142578125,-0.15785837173461914,-0.13957834243774414,0.006653785705566406,0.0602569580078125,0.09482479095458984,0.13599348068237305,19.038045167922974,-4.252620697021484,35.73928260803223,37.20648956298828,37.84327220916748,35.02305865287781,31.033268928527832,20.838869333267212,13.774974584579468,7.631641268730164,0.3000011444091797,-0.837458610534668,-4.213898658752441,-4.66011905670166,-4.70172119140625,-4.62977409362793,-0.2617015838623047,1.1100387573242188,-2.2781639099121094,-9.176765441894531,-7.53169059753418,1.6445331573486328,-1.327188491821289,-1.697622299194336,-2.1386566162109375,2.5501480102539062,-3.7243080139160156,-3.242197036743164,1.5396900177001953,1.814605712890625,1.7046995162963867,1.4994268417358398
20170101090000,16596.908203125,195.88421630859375,14200.37890625,12392.021484375,10918.046875,9653.423828125,7557.49658203125,5864.16015625,4420.572998046875,3170.550048828125,2066.8629150390625,1564.784423828125,1088.3416137695312,858.5810546875,633.4886169433594,412.7276916503906,,60.51248264312744,,,,17.64450991153717,26.98595654964447,17.582390069961548,7.0730860233306885,8.735575914382935,17.595860481262207,61.13992357254028,69.41113996505737,75.8957109451294,72.19636154174805,65.98872566223145,196.54354858398438,292.1555480957031,208.43765258789062,220.486328125,231.767578125,242.1548614501953,253.62242126464844,265.38523864746094,274.71070861816406,280.1203918457031,282.4200744628906,282.6793518066406,284.7267150878906,285.9894714355469,287.96240234375,290.07257080078125,-0.037164926528930664,0.4299955368041992,0.020148277282714844,0.06615114212036133,0.13846206665039062,0.18613815307617188,0.07794475555419922,-0.05011558532714844,-0.07481193542480469,-0.11295413970947266,0.009279251098632812,0.03269767761230469,0.2598743438720703,0.41675853729248047,0.48253536224365234,0.5038981437683105,22.893244743347168,-6.878993988037109,37.68010902404785,38.57953453063965,35.04249954223633,33.272791266441345,28.62008237838745,20.02573001384735,12.557744920253754,2.8286566734313965,-0.01804828643798828,-0.5388603210449219,-4.606696128845215,-6.992352485656738,-7.492109298706055,-7.42525577545166,-6.668826103210449,-1.7859182357788086,2.231891632080078,-4.346057891845703,2.965749740600586,-0.7787532806396484,-3.0935020446777344,-4.510913848876953,-2.648477554321289,3.2194652557373047,-1.9346075057983398,0.2277212142944336,-1.347036361694336,-1.6374626159667969,-1.7716827392578125,-1.8279142379760742
20170101030000,16600.849609375,212.5692138671875,14205.7880859375,12394.9345703125,10917.5263671875,9651.083984375,7557.16796875,5864.1552734375,4422.15478515625,3173.40283203125,2076.7054443359375,1578.87939453125,1104.289794921875,874.9628295898438,650.0902099609375,429.294921875,,59.4439001083374,,,,11.86192473769188,15.627579480409622,2.659869134426117,6.810976624488831,4.835594296455383,55.238176107406616,76.11198043823242,87.0508623123169,81.27491664886475,73.20630550384521,65.83670425415039,196.51638793945312,292.1079559326172,208.6411590576172,221.08070373535156,232.3199005126953,242.0259246826172,254.16726684570312,265.2567901611328,274.4812316894531,279.60841369628906,278.4815368652344,281.29083251953125,283.6850891113281,285.66766357421875,287.8227233886719,289.98402404785156,-0.055033206939697266,0.15248918533325195,-0.03204202651977539,0.06060504913330078,0.027855873107910156,0.0022449493408203125,0.28325939178466797,0.2566404342651367,0.10244369506835938,0.02750396728515625,0.09678268432617188,0.2573890686035156,0.2171173095703125,0.14922046661376953,0.12227821350097656,0.13776397705078125,23.274958610534668,-6.242391586303711,37.40142059326172,37.767507553100586,35.05657958984375,33.13974118232727,28.747962474822998,19.660076379776,10.399281471967697,0.6296215057373047,0.29456329345703125,-1.8977537155151367,-5.891324996948242,-6.43868350982666,-6.493769645690918,-6.423927307128906,-2.606904983520508,-2.725421905517578,3.5292701721191406,-3.4278507232666016,-1.8128108978271484,-1.6176090240478516,-4.417356491088867,-5.978658676147461,-0.2191944122314453,5.688240051269531,2.3208818435668945,2.746098518371582,-1.3061723709106445,-2.1470775604248047,-2.4655532836914062,-2.630845069885254
20170101150000,16594.103515625,198.32748413085938,14201.611328125,12396.73046875,10920.02734375,9655.15234375,7559.17919921875,5867.28125,4422.720703125,3168.280517578125,2066.135009765625,1565.3594970703125,1090.3468017578125,860.9427490234375,635.9098205566406,415.131103515625,,57.460421085357666,,,,14.050411343574524,30.131687581539154,25.631744384765625,6.168611526489258,21.0966979265213,32.83161902427673,63.50959372520447,76.40989303588867,74.52543592453003,67.95767498016357,61.66537141799927,196.12220764160156,292.1401672363281,208.07925415039062,220.881103515625,231.82525634765625,242.1877899169922,253.70355224609375,265.0420227050781,275.35693359375,280.1689453125,281.1332092285156,282.0335998535156,284.0248260498047,285.89952087402344,288.0220031738281,290.13563537597656,0.023342490196228027,0.2702972888946533,0.01883983612060547,-0.08143234252929688,-0.0078067779541015625,0.14499473571777344,-0.05625629425048828,0.12242317199707031,0.12066268920898438,0.13446044921875,0.11021757125854492,-0.055685997009277344,0.06327056884765625,0.11288833618164062,0.15378141403198242,0.2006664276123047,19.777551412582397,-5.827277183532715,35.55112266540527,37.415937423706055,36.94948768615723,35.65828466415405,29.98194408416748,18.122756004333496,12.536188669502735,6.094780206680298,-0.16357707977294922,-0.21872711181640625,-5.473265647888184,-6.444575309753418,-6.5915069580078125,-6.487542152404785,-3.07745361328125,0.12903785705566406,-1.3278026580810547,-8.54307746887207,-5.174043655395508,0.06211662292480469,-0.9144153594970703,1.9895343780517578,-2.348733901977539,3.1303558349609375,-3.206791877746582,-3.000821113586426,-0.006740570068359375,0.2805500030517578,0.30559349060058594,0.2584218978881836
20170102150000,16589.69921875,182.3597869873047,14207.9873046875,12409.412109375,10930.2001953125,9661.517578125,7559.09912109375,5855.68212890625,4411.567626953125,3154.955322265625,2062.2550048828125,1559.61376953125,1080.6590576171875,849.5386352539062,622.818115234375,400.63006591796875,,62.8442268371582,,,,14.136197328567505,15.635057389736176,29.805733799934387,9.689666152000427,4.642867565155029,82.86184060573578,72.19372725486755,79.58631324768066,81.4995322227478,74.19933891296387,67.74279308319092,195.19464111328125,293.79881286621094,207.2234344482422,220.4692840576172,233.13986206054688,242.35606384277344,255.4680938720703,265.78619384765625,275.3289031982422,281.503662109375,280.2349548339844,283.9844055175781,285.9580535888672,287.6798858642578,289.7076873779297,291.7435760498047,-0.013677835464477539,0.2366321086883545,0.13705968856811523,0.0447998046875,-0.06124114990234375,-0.12113428115844727,-0.0172271728515625,0.16988468170166016,0.12217235565185547,0.12313652038574219,0.08555030822753906,0.0063381195068359375,0.04128456115722656,0.18147659301757812,0.3407912254333496,0.373075008392334,22.34161376953125,-2.5213985443115234,34.430593490600586,35.94020366668701,36.09208583831787,35.017948627471924,31.390424489974976,23.75619399547577,16.693520307540894,10.838124871253967,2.57712459564209,0.20389747619628906,-0.9526071548461914,-1.3412141799926758,-2.0665931701660156,-2.477437973022461,7.293952941894531,-1.4131107330322266,1.3185310363769531,-1.3751506805419922,-5.4505462646484375,0.09474754333496094,-1.5981502532958984,-1.8001880645751953,-2.5455245971679688,-7.448113441467285,-4.852505683898926,-1.0122690200805664,-1.871912956237793,-2.262910842895508,-1.8177604675292969,-1.4502525329589844
20170102180000,16574.4609375,177.21606826782227,14198.5654296875,12398.7890625,10919.9736328125,9651.404296875,7551.1328125,5846.82177734375,4404.04345703125,3147.6005859375,2056.1639404296875,1554.2874755859375,1075.5056762695312,844.3431396484375,617.638916015625,395.38397216796875,,64.24999237060547,,,,16.622445583343506,15.99956727027893,34.244998812675476,9.082679986953735,10.825008034706116,86.40148758888245,75.755126953125,79.63425159454346,77.933185338974,72.11787033081055,67.56148529052734,194.3605194091797,293.7059783935547,207.04473876953125,220.5256805419922,232.87948608398438,242.1614227294922,255.5679473876953,265.77191162109375,274.8694610595703,280.02435302734375,279.7521514892578,283.666748046875,285.9598388671875,287.77740478515625,289.7884216308594,291.73789978027344,-0.04158759117126465,0.26504063606262207,-0.013129711151123047,-0.13088321685791016,-0.19472980499267578,-0.16553211212158203,0.15772533416748047,0.07476329803466797,0.0122833251953125,0.18535232543945312,0.026447296142578125,-0.053096771240234375,0.06930732727050781,0.2450695037841797,0.4086151123046875,0.4321107864379883,24.780620574951172,-1.6719942092895508,35.59405326843262,36.012413024902344,36.35795879364014,36.66678237915039,31.89447247982025,23.738874912261963,16.45719861984253,10.964250564575195,3.5771169662475586,2.088963508605957,0.30794811248779297,-0.4338188171386719,-1.034743309020996,-1.4926910400390625,7.033445358276367,-0.7005071640014648,0.6628208160400391,-1.1826000213623047,-4.489650726318359,-4.0046844482421875,-4.620258331298828,-4.130796432495117,-1.1585664749145508,-7.1613969802856445,-5.625209808349609,-2.0357818603515625,-1.2389211654663086,-0.8421764373779297,-0.3677501678466797,-0.29649925231933594
20170102060000,16599.8046875,176.19532012939453,14210.70703125,12400.8515625,10916.8037109375,9647.796875,7547.27197265625,5852.11669921875,4406.28125,3150.70556640625,2054.00244140625,1552.6583251953125,1075.0626220703125,843.8445434570312,617.046630859375,394.6715393066406,,56.76062774658203,,,,14.310410261154175,38.61470890045166,38.946198523044586,42.7967803478241,9.500402331352234,73.57001209259033,74.64663696289062,81.13537263870239,75.64170837402344,69.22212219238281,62.66549110412598,195.63198852539062,294.2481689453125,208.57228088378906,221.4061279296875,233.33531188964844,242.40916442871094,254.10800170898438,265.19212341308594,275.111083984375,281.30548095703125,280.2558898925781,282.77410888671875,285.91497802734375,287.8746643066406,289.9808349609375,292.1262969970703,-0.030687570571899414,-0.08187413215637207,0.10011053085327148,0.15603923797607422,0.12708425521850586,0.14008045196533203,0.2252340316772461,0.041375160217285156,-0.19856643676757812,0.0032291412353515625,0.47010040283203125,0.3806953430175781,-0.24405765533447266,-0.38185787200927734,-0.30312061309814453,-0.19188308715820312,17.206458568572998,-0.036884307861328125,31.814741134643555,33.595946311950684,35.25715446472168,35.331204891204834,32.641053676605225,26.031739592552185,17.69269847869873,11.822765946388245,1.2569174766540527,-0.9961891174316406,-1.3175725936889648,-0.870823860168457,-0.46749401092529297,-0.20652198791503906,5.638721466064453,2.494889259338379,-1.3998985290527344,4.856197357177734,-9.876729965209961,-2.2007522583007812,-0.8341884613037109,-4.124889373779297,0.4716501235961914,-0.6144561767578125,-8.351807594299316,-4.909968376159668,-0.42417335510253906,1.0576553344726562,1.9004955291748047,2.29305362701416
20170102120000,16599.248046875,186.97817993164062,14217.5234375,12416.189453125,10936.0556640625,9666.021484375,7562.63525390625,5863.6220703125,4421.118408203125,3163.126220703125,2067.4130859375,1564.78564453125,1085.7540283203125,854.4058837890625,627.61474609375,405.2625732421875,,60.50102424621582,,,,13.6976979970932,17.847127676010132,37.070868134498596,22.900653958320618,4.606551647186279,83.72050833702087,72.18920254707336,76.63182020187378,79.9803409576416,73.04225158691406,65.93653297424316,195.6997528076172,293.9852600097656,207.24124145507812,220.8266143798828,233.25669860839844,242.58729553222656,254.990966796875,265.2832794189453,274.7909851074219,282.3883972167969,280.5765686035156,283.7456359863281,286.2841491699219,287.87770080566406,289.9054412841797,291.90869140625,0.0012786388397216797,0.07836699485778809,0.0593409538269043,-0.04336118698120117,-0.2003498077392578,-0.2270212173461914,0.23534679412841797,0.49117374420166016,0.1760540008544922,-0.10517501831054688,-0.14348220825195312,0.08561897277832031,0.1592855453491211,0.07206249237060547,0.014261722564697266,0.05202054977416992,19.8848614692688,-1.9312496185302734,33.805192947387695,35.83786106109619,36.492064476013184,36.17796516418457,30.850188821554184,23.875999987125397,17.79855179786682,12.25483763217926,0.6630091667175293,-2.592770576477051,-1.1824054718017578,-0.3962697982788086,-0.6565446853637695,-1.4997777938842773,7.597496032714844,-0.27301502227783203,-0.46298789978027344,1.0662612915039062,-5.201480865478516,-0.09370994567871094,-0.8017997741699219,-2.627063751220703,-3.2955970764160156,-4.373760223388672,-4.766749382019043,-3.678227424621582,-3.1048154830932617,-2.777195930480957,-1.8942651748657227,-0.7083005905151367
