ValidityDate/Time,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20160101030000,0.0,2.44140625,12.79296875,102841.02783203124,102859.912109375,54.03139781951904,292.61688232421875,12.79296875,0.0,-4.870984077453613,-2.7858123779296875
20160101040000,0.0,0.68359375,15.0390625,102707.13500976562,102730.2978515625,51.94278526306152,292.7536163330078,15.0390625,0.0,-4.916910171508789,-2.2910919189453125
20160101050000,0.0,0.0,18.896484375,102651.19018554688,102669.873046875,49.08612632751465,292.89306640625,18.896484375,0.0,-4.148940086364746,-1.8630447387695312
20160101060000,0.0,0.0,27.880859375,102638.92211914062,102664.05029296876,49.23732566833496,293.0513458251953,27.880859375,0.0,-4.688591003417969,-1.8979434967041016
20160101070000,0.0,0.0,18.65234375,102641.03393554688,102659.97314453124,50.69279098510742,292.98876953125,18.65234375,0.0,-5.276944160461426,-1.704132080078125
20160101080000,0.0,0.0,13.720703125,102643.017578125,102668.66455078124,53.72843933105469,292.87457275390625,13.720703125,0.0,-5.594156265258789,-1.750997543334961
20160101090000,0.0,0.0,7.5927734375,102665.49682617188,102691.02172851562,54.2201099395752,292.8763122558594,7.568359375,0.0,-5.5566444396972665,-1.6019983291625977
20160101100000,0.0,0.048828125,18.798828125,102737.34130859376,102755.93872070312,54.317466735839844,292.95947265625,18.798828125,0.0,-4.838987350463867,-0.9253206253051758
20160101110000,40.72265625,8.544921875,26.025390625,102791.07055664062,102814.6240234375,60.1450252532959,292.9462432861328,40.72265625,0.0,-5.124542236328125,-1.044926643371582
20160101120000,44.53125,6.0546875,23.73046875,102814.63012695312,102841.40014648438,56.387024879455566,293.0153045654297,44.53125,0.0,-4.847480773925781,-0.601038932800293
20160101130000,37.40234375,1.416015625,21.09375,102800.03662109376,102828.173828125,54.3947811126709,293.12786865234375,37.40234375,0.0,-4.297417640686035,0.12115764617919922
20160101140000,33.837890625,0.0,23.974609375,102768.310546875,102791.71752929688,54.52466106414795,293.2516021728516,33.837890625,0.0,-4.1153783798217765,0.7573375701904297
20160101150000,39.697265625,0.146484375,28.7109375,102719.58618164062,102741.88232421876,55.93749046325684,293.37060546875,39.697265625,0.0,-3.8549175262451167,1.37811279296875
20160101160000,40.8203125,0.927734375,16.357421875,102668.65844726562,102687.87231445312,56.935954093933105,293.5137176513672,40.8203125,0.0,-3.5162649154663086,1.9740800857543943
20160101170000,31.103515625,0.48828125,24.8046875,102607.6171875,102632.8857421875,57.35805702209473,293.66917419433594,31.103515625,0.0,-3.4566564559936523,2.386575698852539
20160101180000,23.486328125,0.0,20.8984375,102553.91235351562,102575.10986328124,57.69861602783203,293.8011169433594,23.486328125,,-3.5042171478271484,2.609485626220703
20160101190000,13.0859375,0.0,18.896484375,102518.4814453125,102539.60571289062,58.373847007751465,293.92027282714844,18.896484375,0.0,-3.3355369567871094,2.5792808532714844
20160101200000,10.693359375,0.1953125,15.478515625,102495.02563476562,102515.185546875,59.4759635925293,294.0319061279297,15.478515625,0.0,-3.278754234313965,2.5330829620361333
20160101210000,15.380859375,1.26953125,17.041015625,102509.92431640624,102534.130859375,59.88283729553223,294.2054901123047,17.041015625,0.0,-2.942089080810547,2.519089698791504
20160101220000,16.455078125,1.26953125,17.431640625,102551.513671875,102572.11303710938,60.40564918518066,294.3719482421875,17.48046875,0.0,-2.93182373046875,2.524150848388672
20160101230000,0.0,1.025390625,19.287109375,102588.61694335938,102610.22338867188,61.036415100097656,294.5258026123047,19.287109375,0.0,-3.010552406311035,2.6255178451538086
20160102000000,21.875,3.271484375,15.13671875,102637.04833984376,102657.17163085938,59.89201545715332,294.78094482421875,21.875,0.0,-2.353557586669922,2.40439510345459
20160102010000,30.224609375,4.296875,13.427734375,102653.19213867188,102677.83813476562,58.00057792663574,295.1651153564453,30.224609375,0.0,-2.2493104934692383,2.7722225189208984
20160102020000,45.263671875,6.884765625,13.18359375,102622.71118164062,102639.34326171876,57.62251949310303,295.4366760253906,45.263671875,0.0,-2.0418052673339844,3.3894062042236333
20160102030000,7.71484375,0.0,10.44921875,102437.0361328125,102454.1015625,58.60143089294434,295.36924743652344,10.44921875,0.0,-2.2209510803222656,5.543240547180176
20160102040000,12.060546875,0.0,9.619140625,102365.63720703124,102389.59350585938,59.17419242858887,295.51698303222656,12.060546875,0.0,-1.847492218017578,5.343945503234863
20160102050000,8.6181640625,0.0,24.609375,102294.50073242188,102314.86206054688,59.482139587402344,295.5950164794922,24.609375,0.0,-1.3959741592407229,4.767131805419922
20160102060000,10.400390625,0.0,35.986328125,102243.66455078124,102263.04321289062,59.76980781555176,295.65602111816406,35.986328125,0.0,-0.9880781173706056,4.2621984481811515
20160102070000,29.541015625,0.0,60.83984375,102220.97778320312,102245.47119140624,60.25863647460938,295.6889343261719,60.83984375,0.0,-1.1593828201293943,3.9060888290405273
20160102080000,49.9755859375,0.0,51.611328125,102236.80419921876,102252.00805664062,60.74576187133789,295.7050018310547,51.708984375,0.0,-1.311960220336914,3.364426612854004
20160102090000,50.390625,0.0,41.162109375,102243.505859375,102261.85913085938,62.64245986938477,295.6934509277344,50.390625,0.0,-1.8778753280639648,3.5192909240722656
20160102100000,55.419921875,0.0,47.4365234375,102284.29565429688,102302.8076171875,64.23126220703125,295.68946838378906,55.419921875,0.0,-1.99615478515625,3.4350147247314453
20160102110000,48.291015625,0.0,43.5546875,102322.13745117188,102349.85961914062,64.93955230712889,295.75498962402344,48.291015625,0.0,-1.692731857299805,3.4298973083496094
20160102120000,64.404296875,0.0,36.669921875,102342.7490234375,102361.4990234375,65.42225646972656,295.78712463378906,64.404296875,0.0,-1.7361335754394531,3.2317428588867188
20160102130000,77.294921875,0.0,39.697265625,102347.63793945312,102373.96850585938,65.64135360717772,295.9500732421875,77.294921875,0.0,-0.8589820861816406,4.106386184692384
