,Downward short-wave radiation flux,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20170101150000,,0.29296875,3.515625,2.4169921875,102301.77612304688,102328.55834960938,59.356966972351074,294.1715850830078,3.515625,0.0,-4.436346054077148,0.02927875518798828
20170101180000,,4.443359375,4.4921875,1.1962890625,102172.91870117188,102192.34619140625,59.164366722106934,294.18495178222656,4.541015625,,-3.47031307220459,0.6833677291870117
20170101060000,,0.0,7.03125,8.59375,102323.76098632812,102347.47924804688,55.488107681274414,294.7388000488281,9.033203125,0.0,-5.181266784667969,-2.235987663269043
20170101130000,,0.0,2.1484375,1.708984375,102391.78466796875,102407.62329101562,59.09363842010498,294.2003631591797,2.1484375,0.0,-4.669506072998047,-0.9355783462524414
20170101120000,,0.0,1.708984375,0.9765625,102406.82373046875,102422.74169921875,59.57026290893555,294.20159912109375,1.708984375,0.0,-4.806428909301758,-1.1258602142333984
20170101170000,,0.0,5.859375,0.9765625,102216.82739257812,102232.4951171875,59.258148193359375,294.1637268066406,5.859375,0.0,-4.016569137573242,0.7176837921142578
20170101110000,,0.0,2.197265625,1.3916015625,102390.24658203125,102415.95458984375,60.5700740814209,294.2447967529297,2.197265625,0.0,-4.967624664306641,-1.5894060134887695
20170101030000,,0.0,20.458984375,8.984375,102477.40478515625,102496.728515625,58.93410301208496,294.5423278808594,20.458984375,0.0,-5.629779815673828,-2.626565933227539
20170101160000,,0.146484375,5.859375,1.7822265625,102251.91040039062,102277.89306640625,59.74927520751953,294.1553955078125,5.859375,0.0,-4.243995666503906,0.4725055694580078
20170101050000,,0.0,12.548828125,11.328125,102375.44555664062,102399.169921875,56.34431076049805,294.7002410888672,12.548828125,0.0,-5.082063674926758,-2.566883087158203
20170101080000,,0.0,0.048828125,1.8798828125,102231.23168945312,102256.2744140625,57.09062957763672,294.5954284667969,1.904296875,0.0,-5.879744529724121,-1.4476518630981445
20170101040000,,0.0,16.11328125,10.400390625,102405.6396484375,102433.35571289062,57.339420318603516,294.62615966796875,16.11328125,0.0,-5.378391265869141,-2.610645294189453
20170101090000,,0.0,0.634765625,1.5380859375,102278.70483398438,102298.00415039062,60.875131607055664,294.38487243652344,1.611328125,0.0,-5.666603088378906,-1.5369377136230469
