,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20160101230000,0.0,1.025390625,19.287109375,102588.61694335938,102610.22338867188,61.036415100097656,294.5258026123047,19.287109375,0.0,-3.010552406311035,2.6255178451538086
20160101190000,13.0859375,0.0,18.896484375,102518.4814453125,102539.60571289062,58.373847007751465,293.92027282714844,18.896484375,0.0,-3.3355369567871094,2.5792808532714844
20160102000000,21.875,3.271484375,15.13671875,102637.04833984375,102657.17163085938,59.89201545715332,294.78094482421875,21.875,0.0,-2.353557586669922,2.40439510345459
20160101210000,15.380859375,1.26953125,17.041015625,102509.92431640625,102534.130859375,59.88283729553223,294.2054901123047,17.041015625,0.0,-2.942089080810547,2.519089698791504
20160102010000,30.224609375,4.296875,13.427734375,102653.19213867188,102677.83813476562,58.00057792663574,295.1651153564453,30.224609375,0.0,-2.2493104934692383,2.7722225189208984
20160102020000,45.263671875,6.884765625,13.18359375,102622.71118164062,102639.34326171875,57.62251949310303,295.4366760253906,45.263671875,0.0,-2.0418052673339844,3.389406204223633
20160101220000,16.455078125,1.26953125,17.431640625,102551.513671875,102572.11303710938,60.405649185180664,294.3719482421875,17.48046875,0.0,-2.93182373046875,2.524150848388672
20160101200000,10.693359375,0.1953125,15.478515625,102495.02563476562,102515.185546875,59.4759635925293,294.0319061279297,15.478515625,0.0,-3.278754234313965,2.533082962036133
20160103020000,71.142578125,2.5390625,58.935546875,102214.15405273438,102240.16723632812,72.94790077209473,295.7051544189453,71.142578125,0.0,2.7114992141723633,6.485095024108887
20160102210000,66.4794921875,19.580078125,29.4921875,102167.6513671875,102184.75341796875,70.48239326477051,296.6988525390625,66.50390625,0.0,2.884885787963867,5.539660453796387
20160103010000,54.58984375,1.171875,54.78515625,102256.79931640625,102273.99291992188,78.94011306762695,295.8635559082031,55.46875,0.0,2.986563205718994,6.677760124206543
20160102220000,71.6552734375,21.484375,43.017578125,102187.73803710938,102208.14819335938,70.71029472351074,296.81683349609375,71.6796875,0.0234375,3.011423110961914,5.3258256912231445
20160102230000,79.6875,23.33984375,46.484375,102240.2099609375,102259.19189453125,72.60494232177734,296.7565460205078,79.6875,0.1953125,3.6497888565063477,5.993488311767578
20160102200000,79.4921875,3.61328125,24.755859375,102119.53125,102143.84155273438,70.41883659362793,296.56138610839844,79.4921875,0.0,1.3434104919433594,6.222225189208984
20160102190000,51.708984375,12.060546875,28.857421875,102146.15478515625,102169.70825195312,70.01164817810059,296.4447784423828,51.708984375,0.0,1.5340118408203125,5.318194389343262
20160103000000,58.154296875,4.638671875,46.044921875,102277.3681640625,102295.69702148438,76.96724700927734,296.3188781738281,58.154296875,0.09375,3.786953926086426,6.166059494018555
20160104020000,57.51953125,41.40625,55.712890625,102116.70532226562,102140.00244140625,84.0152816772461,295.29058837890625,57.51953125,0.046875,-4.097545623779297,-1.7401933670043945
20160103220000,70.947265625,43.84765625,55.2734375,102027.294921875,102049.755859375,87.43904495239258,294.8372802734375,70.947265625,0.109375,-3.719475746154785,-2.029372215270996
20160103200000,63.8671875,44.62890625,58.056640625,101972.51586914062,101994.50073242188,87.25017166137695,294.9354553222656,64.111328125,0.03125,-3.164205551147461,-2.5150957107543945
20160103190000,70.21484375,49.072265625,44.091796875,101972.72338867188,101999.0966796875,87.30973243713379,295.0222625732422,70.21484375,0.03125,-2.895477294921875,-2.496861457824707
20160104000000,68.9453125,42.28515625,43.505859375,102120.45288085938,102139.51416015625,85.93113327026367,295.0814208984375,68.9453125,0.265625,-3.9595680236816406,-1.6247787475585938
20160103230000,69.482421875,40.52734375,49.4140625,102068.798828125,102090.34423828125,86.93659782409668,294.8877868652344,69.482421875,0.125,-3.9087677001953125,-1.612518310546875
20160103210000,72.119140625,45.849609375,44.189453125,102000.76904296875,102020.64819335938,87.13560104370117,294.90126037597656,72.119140625,0.15625,-3.1054811477661133,-2.396723747253418
20160104010000,49.12109375,53.3203125,54.4921875,102155.41381835938,102182.67211914062,84.97252464294434,295.18141174316406,55.322265625,0.453125,-3.5062665939331055,-2.286250114440918
20160104210000,42.041015625,20.263671875,17.919921875,101921.95434570312,101945.556640625,80.5284252166748,296.2316589355469,44.677734375,0.0,-0.5169744491577148,4.635563850402832
20160104190000,50.09765625,25.1953125,23.2421875,101914.61181640625,101935.45532226562,86.35126876831055,295.8147735595703,50.09765625,0.0,-1.709625244140625,3.274332046508789
20160105000000,0.0,11.5234375,37.646484375,102033.55712890625,102059.033203125,82.2419900894165,296.33445739746094,37.646484375,0.0,-1.9635505676269531,4.782566070556641
20160104230000,0.0,15.185546875,26.904296875,102000.7080078125,102017.2119140625,83.1965799331665,296.13648986816406,26.904296875,0.0,-1.74884033203125,4.651828765869141
20160105020000,44.580078125,34.130859375,32.32421875,102021.6552734375,102039.08081054688,81.58803367614746,296.7334747314453,46.923828125,0.0,-2.3667612075805664,5.455941200256348
20160104220000,10.7421875,15.72265625,17.626953125,101956.0546875,101973.046875,81.6344051361084,296.16046142578125,17.626953125,0.0,-1.3593854904174805,4.328444480895996
20160104200000,50.5859375,26.7578125,23.73046875,101907.90405273438,101929.0283203125,83.25547695159912,296.1733856201172,50.5859375,0.0,-0.5038623809814453,4.493053436279297
20160105010000,1.025390625,14.306640625,34.033203125,102052.490234375,102073.66333007812,81.98631954193115,296.51991271972656,34.033203125,0.0,-2.5832929611206055,5.267599105834961
