ValidityDate/Time,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20150101030000,0.0,26.708984375,24.51171875,102401.12915039062,102427.67333984376,70.74609088897705,289.4043273925781,26.708984375,0.0,4.401440620422363,-12.897987365722654
20150101040000,0.0,28.0517578125,31.4453125,102397.54028320312,102424.89624023438,70.32218170166016,289.2892150878906,31.73828125,0.0,4.61503791809082,-12.538511276245115
20150101050000,0.0,26.171875,43.06640625,102316.71752929688,102339.16015625,71.16578960418701,289.1411590576172,43.06640625,0.0,5.026188850402832,-12.122716903686525
20150101060000,0.0,23.14453125,33.7890625,102325.50048828124,102349.74365234376,72.08137035369873,288.99656677246094,33.7890625,0.0,4.772067070007324,-13.038021087646484
20150101070000,0.0,19.677734375,29.9072265625,102334.05151367188,102354.08935546876,71.77693271636963,288.9104461669922,29.8828125,0.0,3.967361450195313,-12.673746109008787
20150101080000,0.0,21.435546875,32.2998046875,102443.56689453124,102462.79296875,71.58607196807861,288.8397979736328,32.275390625,0.0,3.6522235870361333,-12.78875732421875
20150101090000,0.0,20.166015625,27.9541015625,102491.55883789062,102511.962890625,71.91788864135742,288.7920227050781,27.978515625,0.0,2.907273292541504,-12.957637786865234
20150101100000,0.0,25.732421875,39.16015625,102542.9443359375,102564.32495117188,71.62951087951659,288.7113800048828,39.16015625,0.0,2.535965919494629,-13.307069778442385
20150101110000,0.0,26.318359375,41.943359375,102568.90869140624,102590.78369140624,71.54897499084474,288.7025604248047,41.943359375,0.0,1.8418226242065432,-13.275253295898438
20150101120000,0.0,25.146484375,45.556640625,102568.78662109376,102597.16796875,71.98817443847656,288.6947937011719,45.556640625,0.0,1.2732172012329102,-12.982057571411133
20150101130000,0.0,27.099609375,49.90234375,102564.14184570312,102589.29443359376,71.78216552734375,288.7107696533203,49.90234375,0.0,0.7721052169799805,-12.259807586669922
20150101140000,0.0,30.224609375,55.029296875,102565.22216796876,102582.75756835938,72.43801689147948,288.75440979003906,55.029296875,0.0,0.5531511306762695,-11.474544525146484
20150101150000,0.0,31.34765625,58.69140625,102578.6865234375,102595.59936523438,73.24549865722656,288.74061584472656,58.69140625,0.0,0.6752834320068359,-9.986856460571287
20150101160000,0.0,24.12109375,38.623046875,102535.693359375,102556.87866210938,73.16191577911377,288.74981689453125,38.623046875,0.0,0.3831958770751953,-9.724576950073242
