,Downward short-wave radiation flux,High cloud cover,Low cloud cover,Medium cloud cover,Pressure,Pressure reduced to MSL,Relative humidity,Temperature,Total cloud cover,Total precipitation,u-component of wind,v-component of wind
20170101230000,,2.880859375,4.6875,6.591796875,102278.64990234375,102295.18432617188,58.483482360839844,294.80311584472656,6.591796875,0.0,-3.1403799057006836,0.4940671920776367
20170101220000,,3.3203125,4.00390625,6.4453125,102221.42333984375,102245.73364257812,58.38310623168945,294.69358825683594,6.4453125,0.0,-3.119699478149414,0.17545413970947266
20170101190000,,5.6640625,4.4921875,3.61328125,102161.60278320312,102177.87475585938,58.828078269958496,294.3028106689453,5.6640625,0.0,-3.08174991607666,0.3435497283935547
20170101210000,,1.611328125,1.85546875,7.421875,102169.94018554688,102194.677734375,57.26203536987305,294.6107940673828,7.421875,0.0,-3.0224504470825195,0.3952617645263672
20170102000000,,3.90625,3.173828125,7.3486328125,102320.8251953125,102345.15380859375,57.42652130126953,294.9418182373047,7.373046875,0.0,-2.843599319458008,0.6096611022949219
20170102010000,,6.54296875,3.7109375,7.32421875,102346.74682617188,102372.98583984375,56.01751136779785,295.19273376464844,7.71484375,0.0,-2.570591926574707,0.3964719772338867
20170102020000,,2.490234375,10.83984375,6.73828125,102309.02709960938,102330.18798828125,55.69718551635742,295.49534606933594,11.083984375,0.0,-2.412595748901367,0.5555953979492188
20170101200000,,1.416015625,2.783203125,6.689453125,102155.42602539062,102174.98168945312,57.711867332458496,294.4469299316406,6.689453125,0.0,-2.797369956970215,0.38565635681152344
20170102210000,,0.0,12.79296875,34.08203125,102056.005859375,102078.77807617188,61.12051200866699,295.5714111328125,34.08203125,0.0,-1.4772491455078125,-0.8197307586669922
20170102230000,,0.0,24.90234375,35.302734375,102147.76000976562,102170.24536132812,61.09338188171387,295.60267639160156,35.302734375,0.0,-1.7694320678710938,-0.12519264221191406
20170103010000,,0.0,39.453125,54.1015625,102206.93359375,102226.611328125,59.838924407958984,295.76800537109375,54.1015625,0.0,-1.6279945373535156,-0.3061103820800781
20170102200000,,0.0,10.205078125,31.9091796875,102030.58471679688,102048.79150390625,61.503868103027344,295.5486145019531,31.93359375,0.0,-1.4378585815429688,-1.036407470703125
20170103020000,,0.0,42.626953125,61.865234375,102182.4951171875,102202.01416015625,59.34386444091797,295.8842315673828,61.865234375,0.0,-1.4368371963500977,-1.4840526580810547
20170102190000,,0.0,8.49609375,30.126953125,102027.81372070312,102052.32543945312,62.03380012512207,295.53424072265625,30.126953125,0.0,-1.490386962890625,-0.9827070236206055
20170102220000,,0.0,18.701171875,34.423828125,102110.90087890625,102127.63671875,61.14165687561035,295.5891571044922,34.423828125,0.0,-1.6850776672363281,-0.468109130859375
20170103000000,,0.0,33.49609375,41.064453125,102180.65795898438,102204.11376953125,60.44061279296875,295.66534423828125,41.064453125,0.0,-1.6577262878417969,0.05241966247558594
20170103210000,,0.0,21.630859375,31.34765625,102034.9609375,102054.16259765625,71.31383514404297,294.7143096923828,31.34765625,0.0,-3.8476152420043945,-3.488628387451172
20170104020000,,0.0,31.787109375,28.3203125,102110.39428710938,102138.0859375,62.297688484191895,296.14344787597656,32.32421875,0.0,-3.1844263076782227,-0.22739505767822266
20170103190000,,0.0,23.92578125,32.958984375,102014.05029296875,102033.17260742188,72.4796314239502,294.6239776611328,32.958984375,0.0,-3.6125898361206055,-3.42745304107666
20170104010000,,0.0,16.69921875,27.24609375,102157.51342773438,102180.859375,69.39332437515259,295.4852600097656,27.24609375,0.0,-3.0619382858276367,-1.625361442565918
20170104000000,,0.0,13.96484375,25.537109375,102147.607421875,102168.78662109375,72.69079113006592,294.9337158203125,25.537109375,0.0,-3.278909683227539,-2.4474525451660156
20170103200000,,0.0,21.533203125,32.080078125,101995.068359375,102022.69287109375,71.83508968353271,294.6552734375,32.080078125,0.0,-3.742220878601074,-3.402543067932129
20170103220000,,0.0,19.43359375,27.197265625,102081.90307617188,102102.80151367188,71.75467491149902,294.7391815185547,27.197265625,0.0,-3.906435012817383,-3.216233253479004
20170103230000,,0.0,16.943359375,25.9033203125,102115.7958984375,102140.61889648438,73.09980010986328,294.7225036621094,25.87890625,0.0,-3.672451972961426,-2.822132110595703
20170105000000,,0.0,34.619140625,66.845703125,101965.087890625,101984.43603515625,66.73794460296631,295.53076171875,66.845703125,0.0,-3.5608835220336914,-1.0863380432128906
20170104220000,,0.0,37.3046875,72.94921875,101845.47729492188,101872.802734375,68.15129375457764,295.3656463623047,72.94921875,0.0,-3.5013809204101562,-0.8932018280029297
20170104230000,,0.0,35.44921875,63.134765625,101914.73999023438,101932.38525390625,67.94880867004395,295.42884826660156,63.134765625,0.0,-3.740920066833496,-1.1360111236572266
20170104200000,,0.0,38.330078125,66.30859375,101783.14819335938,101803.45458984375,67.78147506713867,295.3592834472656,66.30859375,0.0,-3.4379119873046875,-0.41660594940185547
20170104190000,,0.0,35.05859375,51.953125,101791.88842773438,101815.80810546875,67.47910785675049,295.3961181640625,51.953125,0.0,-3.532848358154297,-0.15055084228515625
20170105020000,,0.0,25.5859375,56.005859375,101952.87475585938,101976.37939453125,62.02792263031006,295.9658660888672,56.005859375,0.0,-3.375459671020508,-0.6233978271484375
20170104210000,,0.0,38.76953125,70.3125,101799.560546875,101817.97485351562,68.2341833114624,295.3482208251953,70.3125,0.0,-3.652419090270996,-0.7875022888183594
20170105010000,,0.0,29.98046875,57.71484375,101986.79809570312,102011.3525390625,64.40551948547363,295.7729034423828,57.71484375,0.0,-3.712167739868164,-0.8310089111328125
20170105190000,,0.0,35.3515625,49.267578125,101574.49951171875,101600.8056640625,69.07533836364746,296.90606689453125,49.267578125,0.0,2.261791229248047,5.976348876953125
20170105230000,,8.984375,35.400390625,44.140625,101634.814453125,101658.642578125,71.90071678161621,297.13450622558594,44.140625,0.28125,4.017514228820801,4.140979766845703
20170105210000,,19.4091796875,43.1640625,59.765625,101547.49145507812,101573.9990234375,69.75043487548828,297.0020446777344,59.765625,0.26953125,4.085190773010254,5.09686279296875
20170106020000,,9.423828125,13.18359375,42.96875,101664.36767578125,101682.02514648438,77.48005771636963,297.1310729980469,42.96875,0.0,4.767337799072266,1.1882438659667969
20170105200000,,10.6201171875,40.283203125,54.58984375,101537.75024414062,101561.79809570312,69.14527988433838,296.9651794433594,54.58984375,0.046875,2.6664867401123047,6.076900482177734
20170106010000,,6.2255859375,37.01171875,39.84375,101704.47998046875,101722.57080078125,77.92206907272339,297.01573181152344,39.84375,0.029296875,4.933720588684082,2.344961166381836
20170106000000,,8.544921875,35.791015625,48.779296875,101679.35180664062,101703.74755859375,76.12458038330078,296.8815002441406,48.779296875,0.07421875,5.714282989501953,2.533334732055664
20170105220000,,12.5,37.353515625,51.611328125,101602.69775390625,101622.11303710938,72.27762699127197,296.8644256591797,51.611328125,0.037109375,4.438150405883789,3.7847862243652344
20170106210000,,43.7255859375,2.9296875,20.1171875,101373.19946289062,101394.34814453125,76.01996326446533,296.0531005859375,43.701171875,0.0,-0.6256933212280273,-2.115762710571289
20170106200000,,45.703125,2.490234375,15.625,101356.3720703125,101372.47924804688,76.65964889526367,295.995849609375,45.703125,0.0,-0.6546669006347656,-2.5067644119262695
20170107000000,,54.39453125,4.833984375,30.859375,101517.2607421875,101536.23657226562,74.14223289489746,296.46417236328125,54.39453125,0.0,1.8570375442504883,-0.9961090087890625
20170106220000,,52.197265625,3.22265625,21.58203125,101414.50805664062,101434.62524414062,75.28209590911865,296.080322265625,52.197265625,0.0,-0.08129310607910156,-1.1770868301391602
20170106230000,,50.2685546875,5.17578125,24.4140625,101471.07543945312,101487.84790039062,74.61455154418945,296.2257995605469,50.244140625,0.0,0.8571043014526367,-0.8802089691162109
20170107010000,,50.732421875,3.61328125,34.423828125,101522.66845703125,101549.70703125,73.70093727111816,296.61940002441406,50.732421875,0.0,2.289849281311035,-1.0442047119140625
20170107020000,,45.41015625,4.00390625,41.162109375,101479.47998046875,101498.60229492188,73.7877950668335,296.6787567138672,45.41015625,0.0,2.30841064453125,-1.3883857727050781
20170106190000,,52.685546875,4.6875,20.068359375,101372.0947265625,101388.45825195312,77.29277610778809,295.93894958496094,52.685546875,0.0,-0.4943990707397461,-2.990719795227051
20170108010000,,0.0,36.865234375,71.142578125,101341.22314453125,101360.82763671875,74.68606758117676,296.1339569091797,71.142578125,0.0,4.412370681762695,-7.4946489334106445
20170107210000,,27.44140625,18.798828125,58.935546875,101145.45288085938,101165.91186523438,79.95666980743408,296.21778869628906,58.935546875,0.90625,6.807772636413574,-2.0050792694091797
