score,n_estimators,min_samples_split,min_samples_leaf,max_depth,subsample,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.3333333333333333,10,10,10,6,0.8,Rela975,,,,,,,,,
0.3333333333333333,10,100,1,3,0.8,Rela975,WX_telop_300,,,,,,,,
0.25,100,10,50,4,0.8,Rela975,WX_telop_300,WX_telop_200,,,,,,,
0.3333333333333333,10,100,1,5,1.0,Rela975,WX_telop_300,WX_telop_200,hour,,,,,,
0.2857142857142857,10,2,10,6,0.8,Rela975,WX_telop_300,WX_telop_200,hour,smooth_ks3_Rela_0,,,,,
0.25,10,100,10,3,0.8,Rela975,WX_telop_300,WX_telop_200,hour,smooth_ks3_Rela_0,smooth_ks5_Rela_1,,,,
0.2857142857142857,10,100,10,4,0.8,Rela975,WX_telop_300,WX_telop_200,hour,smooth_ks3_Rela_0,smooth_ks5_Rela_1,u-co925,,,
0.2857142857142857,10,2,50,3,1.0,Rela975,WX_telop_300,WX_telop_200,hour,smooth_ks3_Rela_0,smooth_ks5_Rela_1,u-co925,edge_Temp_1,,
0.2857142857142857,10,10,50,4,1.0,Rela975,WX_telop_300,WX_telop_200,hour,smooth_ks3_Rela_0,smooth_ks5_Rela_1,u-co925,edge_Temp_1,edge_Temp_2,
0.2857142857142857,10,100,50,6,1.0,Rela975,WX_telop_300,WX_telop_200,hour,smooth_ks3_Rela_0,smooth_ks5_Rela_1,u-co925,edge_Temp_1,edge_Temp_2,u-co850
