score,n_estimators,min_samples_split,min_samples_leaf,max_depth,subsample,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
0.25,10,10,10,6,1.0,smooth_ks9_Rela_0,,,,,,,,,
0.2857142857142857,10,100,50,4,0.8,smooth_ks9_Rela_0,edge_Temp_1,,,,,,,,
0.2857142857142857,10,2,50,5,0.8,smooth_ks9_Rela_0,edge_Temp_1,Rela850,,,,,,,
0.3117845117845118,10,10,1,4,0.8,smooth_ks9_Rela_0,edge_Temp_1,Rela850,edge_Temp_4,,,,,,
0.327243018419489,100,100,10,5,0.8,smooth_ks9_Rela_0,edge_Temp_1,Rela850,edge_Temp_4,Vert1000,,,,,
0.31965811965811963,100,10,1,5,0.8,smooth_ks9_Rela_0,edge_Temp_1,Rela850,edge_Temp_4,Vert1000,Vert400,,,,
0.4444444444444444,10,100,50,3,1.0,smooth_ks9_Rela_0,edge_Temp_1,Rela850,edge_Temp_4,Vert1000,Vert400,v-component of wind,,,
0.3481481481481481,100,100,10,5,1.0,smooth_ks9_Rela_0,edge_Temp_1,Rela850,edge_Temp_4,Vert1000,Vert400,v-component of wind,v-co300,,
0.4,10,100,50,6,0.8,smooth_ks9_Rela_0,edge_Temp_1,Rela850,edge_Temp_4,Vert1000,Vert400,v-component of wind,v-co300,smooth_ks3_Rela_8,
0.3482443482443482,100,10,1,4,0.8,smooth_ks9_Rela_0,edge_Temp_1,Rela850,edge_Temp_4,Vert1000,Vert400,v-component of wind,v-co300,smooth_ks3_Rela_8,smooth_ks3_Rela_4
