,Geop1000,u-co1000,v-co1000,Temp1000,Vert1000,Rela1000,Geop975,u-co975,v-co975,Temp975,Vert975,Rela975,Geop950,u-co950,v-co950,Temp950,Vert950,Rela950,Geop925,u-co925,v-co925,Temp925,Vert925,Rela925,Geop900,u-co900,v-co900,Temp900,Vert900,Rela900,Geop850,u-co850,v-co850,Temp850,Vert850,Rela850,Geop800,u-co800,v-co800,Temp800,Vert800,Rela800,Geop700,u-co700,v-co700,Temp700,Vert700,Rela700,Geop600,u-co600,v-co600,Temp600,Vert600,Rela600,Geop500,u-co500,v-co500,Temp500,Vert500,Rela500,Geop400,u-co400,v-co400,Temp400,Vert400,Rela400,Geop300,u-co300,v-co300,Temp300,Vert300,Rela300,Geop250,u-co250,v-co250,Temp250,Vert250,Rela250,Geop200,u-co200,v-co200,Temp200,Vert200,Rela200,Geop150,u-co150,v-co150,Temp150,Vert150,Rela150,Geop100,u-co100,v-co100,Temp100,Vert100,Rela100
20160725030000,81.99943161010742,-0.5240869522094727,-1.6092548370361328,302.59759521484375,-0.21142733097076416,64.60964584350586,307.686279296875,-0.880986213684082,-1.4827842712402344,300.4476013183594,-0.7770931720733643,70.491943359375,537.5714416503906,-1.4134960174560547,-1.2066378593444824,298.3190612792969,-1.0996479988098145,76.19026756286621,771.7703857421875,-1.8666353225708008,-0.9805197715759277,296.16876220703125,-1.033085823059082,82.26558685302734,1010.7023315429688,-2.131524085998535,-0.8674931526184082,293.9943542480469,-0.7271709442138672,88.70343589782715,1504.1158447265625,-2.464421272277832,-0.9814181327819824,291.59417724609375,-0.16262054443359375,73.25597763061523,2022.33056640625,-3.505946159362793,-1.5199899673461914,288.5031433105469,-0.09014511108398438,81.09546089172363,3145.786376953125,-5.689507484436035,-0.7705450057983398,283.0773010253906,-0.17523956298828125,83.64637565612793,4414.64501953125,-6.337250709533691,-2.215571403503418,277.05780029296875,-0.15548324584960938,46.100964069366455,5872.2109375,-8.652644157409668,-4.006600379943848,268.6491394042969,-0.09350967407226562,46.47813010215759,7600.69140625,-9.68106460571289,-3.159200668334961,259.76356506347656,-0.12314987182617188,27.218283534049988,9729.107421875,-15.931161880493164,-6.9638519287109375,245.03480529785156,-0.020505905151367188,41.306430757045746,11009.537109375,-18.93130874633789,-8.07888412475586,234.94569396972656,0.02541637420654297,,12506.654296875,-21.41522216796875,-7.0936737060546875,223.44537353515625,0.006818294525146484,,14329.58203125,-21.184459686279297,-7.800987243652344,210.0791473388672,-0.06111490726470947,,16737.177734375,-20.109159469604492,-6.021991729736328,198.08152770996094,-0.041760385036468506,
20160725040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725060000,75.70474195480347,-0.2673912048339844,-3.124680519104004,302.3109436035156,-0.19760870933532715,71.26229476928711,301.37095642089844,-0.6059465408325195,-2.911961555480957,300.1634521484375,-0.7980694770812988,77.87942695617676,531.2880554199219,-1.202707290649414,-2.057734489440918,298.1603698730469,-1.1970891952514648,82.51277351379395,765.5305786132812,-1.7426118850708008,-1.2801885604858398,296.1757507324219,-1.2008342742919922,87.0201416015625,1004.6957397460938,-2.0703535079956055,-0.8745946884155273,294.22943115234375,-0.9681262969970703,91.26287841796875,1498.9197998046875,-2.2260169982910156,-1.4467840194702148,291.708251953125,-0.2918376922607422,83.15207099914551,2018.0892333984375,-2.827298164367676,-2.4045634269714355,288.9992370605469,0.10968971252441406,85.63053607940674,3144.479248046875,-4.433284759521484,-2.68759822845459,283.5328674316406,0.07107925415039062,88.69376587867737,4414.42724609375,-4.7163801193237305,-2.937026023864746,276.6801452636719,-0.12740707397460938,63.48504900932312,5873.43701171875,-7.547829627990723,-1.9534759521484375,268.81103515625,0.07963180541992188,42.205233454704285,7601.041015625,-8.328469276428223,-2.5755538940429688,259.7213897705078,-0.009796142578125,25.609964847564697,9731.8232421875,-15.850065231323242,-5.209499359130859,245.2744598388672,-0.25936222076416016,72.39891254901886,11013.2421875,-18.56523895263672,-3.896373748779297,234.95790100097656,-0.06556320190429688,,12507.8798828125,-21.266632080078125,-0.6969337463378906,222.9253692626953,0.10530352592468262,,14327.3583984375,-18.729955673217773,-6.226459503173828,210.0655517578125,-0.08284837007522583,,16730.8671875,-20.813650131225586,-7.563159942626953,197.68763732910156,-0.017941370606422424,
20160725070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725090000,75.43949770927429,-1.7259845733642578,-4.338573455810547,301.8568115234375,-0.013901591300964355,76.80218887329102,300.8850555419922,-1.8605718612670898,-4.616216659545898,299.69171142578125,-0.1259324550628662,84.0500373840332,530.4912109375,-1.8970727920532227,-4.728499412536621,297.5377502441406,-0.20635509490966797,91.61715316772461,764.5013427734375,-1.664327621459961,-4.295890808105469,295.77911376953125,-0.2441244125366211,92.49736022949219,1003.5142822265625,-1.200735092163086,-3.5514917373657227,294.22027587890625,-0.25656700134277344,92.21440029144287,1497.814697265625,-1.6370782852172852,-3.3278098106384277,291.38995361328125,-0.20958900451660156,91.82552242279053,2016.7197265625,-2.466939926147461,-2.747995376586914,288.8489685058594,-0.11242103576660156,91.10090637207031,3142.98583984375,-4.263895034790039,-2.3997745513916016,283.6323547363281,0.029211044311523438,79.39148020744324,4413.0927734375,-5.172449111938477,-1.0788536071777344,277.02471923828125,0.009746551513671875,60.54147243499756,5874.615234375,-4.299001693725586,0.2420330047607422,269.4078369140625,0.35674285888671875,38.24535369873047,7601.60205078125,-5.896663665771484,-1.9858875274658203,259.0659637451172,-0.3098106384277344,53.85211616754532,9730.68359375,-15.238395690917969,-2.1337547302246094,245.41830444335938,0.036968231201171875,67.51636278629303,11013.9619140625,-15.25619125366211,-0.6141433715820312,235.3505401611328,-0.15881729125976562,,12507.611328125,-15.582395553588867,0.6938819885253906,222.10165405273438,-0.07607817649841309,,14320.806640625,-16.475990295410156,-7.511463165283203,209.4748077392578,0.16466635465621948,,16729.142578125,-20.24509620666504,-7.299598693847656,198.31492614746094,-0.07986561954021454,
20160725100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725120000,83.51249980926514,-3.0043983459472656,-1.124802589416504,301.2030334472656,0.15686607360839844,82.91983222961426,308.5930480957031,-3.730360984802246,-1.4997987747192383,299.1841735839844,0.3215954303741455,88.52752685546875,538.0373229980469,-4.447405815124512,-1.5290946960449219,297.50439453125,0.25476694107055664,90.60290908813477,772.0390014648438,-4.640813827514648,-1.3680534362792969,295.88018798828125,0.14992237091064453,92.17947959899902,1011.2207641601562,-4.31092643737793,-1.5111932754516602,294.42608642578125,0.11013603210449219,91.98522567749023,1506.0467529296875,-4.049642562866211,-2.0134458541870117,291.77520751953125,0.09187889099121094,88.68357849121094,2025.7091064453125,-4.134556770324707,-2.0289082527160645,289.3787536621094,0.06352806091308594,83.34810447692871,3152.676025390625,-3.7884254455566406,-2.5512895584106445,283.504638671875,0.06147193908691406,80.5879282951355,4422.11474609375,-3.095376968383789,-0.7026281356811523,276.6022033691406,-0.012842178344726562,72.61753439903259,5883.52978515625,-1.8429460525512695,0.45499324798583984,269.72528076171875,0.08993721008300781,38.712374210357666,7611.08251953125,-8.902969360351562,-1.6131534576416016,259.0002899169922,0.12359619140625,53.51766514778137,9741.51171875,-13.09825325012207,0.055629730224609375,244.91868591308594,0.42122650146484375,64.08724629878998,11022.57421875,-13.554983139038086,-0.43744659423828125,235.7135772705078,-0.46358489990234375,,12516.3046875,-13.108829498291016,1.3325881958007812,222.0924072265625,-0.10993623733520508,,14326.4873046875,-13.956453323364258,-7.434947967529297,208.95115661621094,0.025758028030395508,,16734.064453125,-18.935556411743164,-6.399343490600586,198.6119384765625,0.00860247015953064,
20160725130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725150000,82.37073874473572,-2.208388328552246,0.4954833984375,301.427490234375,0.037061214447021484,80.41022872924805,307.66119384765625,-3.225198745727539,1.1032867431640625,299.6197204589844,-0.07874345779418945,82.55299949645996,537.1960144042969,-3.5419864654541016,1.4223384857177734,297.5789794921875,-0.056284427642822266,88.19922637939453,771.0514526367188,-3.5947065353393555,1.5141181945800781,295.6544189453125,0.013584136962890625,89.54568481445312,1009.9690551757812,-4.025147438049316,0.8314704895019531,294.69317626953125,-0.015030860900878906,77.66840648651123,1504.8363037109375,-3.590482711791992,-0.4282197952270508,292.0716247558594,-0.12892913818359375,78.41508102416992,2024.2877197265625,-4.121058464050293,-0.3032569885253906,289.4256591796875,-0.042545318603515625,75.55104923248291,3151.590087890625,-5.731151580810547,-0.5003252029418945,283.5732727050781,0.14010238647460938,78.19036316871643,4421.3642578125,-2.423450469970703,-0.6371383666992188,276.8548278808594,-0.22796630859375,55.80843925476074,5882.85009765625,-1.672170639038086,-1.1069812774658203,269.8186340332031,0.16125106811523438,31.5974041223526,7612.78173828125,-12.375345230102539,-0.7624034881591797,259.55938720703125,-0.001056671142578125,87.38732361793518,9742.7861328125,-11.524749755859375,0.912139892578125,245.5560760498047,0.060123443603515625,40.229730784893036,11023.9208984375,-11.021394729614258,-3.19091796875,235.1608123779297,0.09180068969726562,,12516.4248046875,-10.143302917480469,-2.9686508178710938,221.9872589111328,-0.06474494934082031,,14323.7841796875,-14.024866104125977,-9.752185821533203,208.44781494140625,0.11249685287475586,,16730.328125,-17.368913650512695,-6.319480895996094,198.86660766601562,-0.010813236236572266,
20160725160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725180000,68.8357367515564,-0.44406795501708984,2.487605094909668,301.7359313964844,-0.027415871620178223,78.4527530670166,294.2826385498047,-0.4405994415283203,3.0114364624023438,299.64947509765625,-0.11748933792114258,84.73938179016113,523.8424682617188,-0.4738016128540039,3.4238357543945312,297.5490417480469,-0.14443206787109375,91.63174819946289,757.8381958007812,-0.5681276321411133,3.691594123840332,295.65850830078125,-0.12096595764160156,94.0093822479248,996.7529296875,-0.9499187469482422,3.624004364013672,294.2274475097656,-0.03921794891357422,89.54649353027344,1491.9266357421875,-2.132205009460449,1.675023078918457,292.406494140625,0.0065479278564453125,77.08187484741211,2012.0953369140625,-3.292755126953125,1.0384750366210938,289.70611572265625,0.0005817413330078125,78.48296451568604,3139.85546875,-5.005370140075684,-0.14556598663330078,283.8594055175781,-0.036754608154296875,78.23422861099243,4410.7646484375,-3.0718955993652344,-0.6683835983276367,277.1803894042969,0.0504302978515625,53.85014057159424,5870.38916015625,-2.7103195190429688,-2.182046890258789,268.9195861816406,0.036457061767578125,41.85326588153839,7599.0283203125,-8.224903106689453,0.6898059844970703,259.3806610107422,0.12615394592285156,86.0127203464508,9731.2294921875,-9.311004638671875,0.030548095703125,245.81927490234375,-0.08309650421142578,23.362696766853333,11011.6240234375,-9.981046676635742,-2.9134559631347656,234.5391387939453,-0.06571578979492188,,12500.2998046875,-6.879209518432617,-5.624595642089844,221.38845825195312,-0.019906044006347656,,14306.0234375,-14.95635986328125,-6.703948974609375,208.5158233642578,0.07460284233093262,,16711.3671875,-17.061750411987305,-6.679729461669922,198.32855224609375,-0.028331339359283447,
20160725190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160725230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
