,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20150606030000,101145.5810546875,101118.09692382812,-0.6973724365234375,-7.576766014099121,297.87286376953125,86.95267677307129,34.375,46.533203125,85.9375,85.9375,0.875
20150606040000,101199.72534179688,101183.4228515625,-1.8967161178588867,-6.214715957641602,297.84100341796875,86.82552146911621,41.259765625,48.388671875,70.556640625,70.556640625,0.46875
20150606050000,101133.82568359375,101117.333984375,-2.785432815551758,-4.261808395385742,297.8600158691406,86.42490768432617,35.3515625,55.419921875,82.080078125,82.080078125,0.53125
20150606060000,101143.56079101562,101125.51879882812,-3.3415517807006836,-2.323537826538086,297.8818054199219,86.22122955322266,35.302734375,70.556640625,78.662109375,78.662109375,2.25
20150606070000,101109.7412109375,101086.27319335938,-3.8706865310668945,-1.3788871765136719,297.7538757324219,88.29426002502441,37.6953125,73.4375,83.447265625,87.20703125,2.09375
20150606080000,101143.56079101562,101126.66625976562,-3.895589828491211,-0.8133697509765625,297.8094177246094,89.44339179992676,42.724609375,56.396484375,96.38671875,96.38671875,2.09375
20150606090000,101149.7314453125,101133.96606445312,-3.9296875,0.8636646270751953,297.9523620605469,90.00417900085449,25.1953125,52.734375,89.16015625,89.16015625,0.53125
20150606100000,101179.7607421875,101161.46240234375,-3.2148780822753906,1.5999059677124023,298.2646789550781,89.12179946899414,3.466796875,58.88671875,96.58203125,96.58203125,0.265625
20150606110000,101214.83154296875,101187.21923828125,-3.1793737411499023,2.186880111694336,298.40533447265625,89.10736465454102,10.693359375,51.708984375,76.46484375,76.46484375,0.140625
20150606120000,101239.98413085938,101219.78149414062,-3.461690902709961,2.481416702270508,298.5924987792969,89.36737823486328,21.38671875,48.6572265625,92.919921875,92.919921875,0.046875
20150606130000,101290.85083007812,101264.75219726562,-3.2733898162841797,2.7585926055908203,298.79827880859375,89.80255126953125,27.490234375,58.642578125,52.83203125,58.642578125,0.0
20150606140000,101310.302734375,101289.26391601562,-2.6226415634155273,3.4472970962524414,299.067138671875,90.2507438659668,22.4609375,63.18359375,53.857421875,63.18359375,0.0
20150606150000,101296.22192382812,101269.78759765625,-2.3138065338134766,3.7702245712280273,299.38861083984375,90.7406063079834,24.609375,79.150390625,51.123046875,79.150390625,0.0390625
20150606160000,101245.15380859375,101221.17919921875,-1.5074596405029297,4.19106388092041,299.6708068847656,91.2300033569336,18.017578125,78.80859375,67.08984375,78.80859375,0.171875
20150606170000,101209.75341796875,101194.43359375,-0.6150226593017578,4.102587699890137,299.7806091308594,91.05855178833008,14.599609375,52.001953125,60.400390625,60.400390625,0.140625
20150606180000,101179.16870117188,101162.548828125,-0.5382633209228516,3.5889549255371094,299.7476501464844,92.50641632080078,18.896484375,79.296875,67.578125,79.296875,
20150606190000,,,,,,,,,,,
20150606200000,,,,,,,,,,,
20150606210000,,,,,,,,,,,
20150606220000,,,,,,,,,,,
20150606230000,,,,,,,,,,,
20150607000000,,,,,,,,,,,
20150607010000,,,,,,,,,,,
20150607020000,,,,,,,,,,,
