,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation,Downward short-wave radiation flux
20171218030000,102396.67358398438,102358.7646484375,-4.840785980224609,-4.343473434448242,291.95306396484375,56.910993576049805,0.439453125,89.501953125,64.0380859375,89.501953125,0.0,133.02442932128906
20171218040000,102391.4306640625,102358.740234375,-5.1388444900512695,-3.8030357360839844,291.717529296875,59.50291156768799,13.623046875,53.955078125,86.572265625,86.572265625,0.0,166.8081398010254
20171218050000,102372.71118164062,102338.01879882812,-6.071459770202637,-2.8339195251464844,291.48521423339844,64.63606452941895,39.501953125,50.48828125,75.5859375,75.5859375,0.0,116.86154556274414
20171218060000,102303.3447265625,102269.93408203125,-5.973762512207031,-2.6589088439941406,291.4392547607422,63.36761951446533,27.34375,45.458984375,81.884765625,81.884765625,0.0,97.5
20171218070000,102320.18432617188,102288.4765625,-5.431958198547363,-3.2302122116088867,291.4429931640625,62.43985843658447,37.20703125,50.87890625,60.9375,60.9375,0.0,46.625
20171218080000,102360.58349609375,102334.1552734375,-5.313218116760254,-3.885589599609375,291.4337158203125,61.96897506713867,29.736328125,51.3671875,0.0,51.3671875,0.0,7.75
20171218090000,102420.1171875,102387.24975585938,-5.305497169494629,-3.8921279907226562,291.44219970703125,62.57356262207031,30.078125,70.80078125,0.0,70.80078125,0.0,0.0
20171218100000,102463.65356445312,102430.908203125,-5.607080459594727,-3.9722843170166016,291.1046600341797,66.4946517944336,21.19140625,51.416015625,0.0,51.416015625,0.0,0.0
20171218110000,102513.97094726562,102476.13525390625,-5.148494720458984,-3.834056854248047,291.0212097167969,67.85970878601074,15.380859375,50.78125,0.0,50.78125,0.0,0.0
20171218120000,102515.283203125,102476.708984375,-4.601556777954102,-3.964487075805664,291.10943603515625,67.71415328979492,16.015625,48.583984375,19.873046875,48.583984375,0.0,0.0
20171218130000,102504.0283203125,102472.23510742188,-4.445932388305664,-4.11378288269043,291.2859344482422,66.77982139587402,18.017578125,44.189453125,50.830078125,51.025390625,0.0,0.0
20171218140000,102497.51586914062,102467.529296875,-4.237459182739258,-4.466878890991211,291.3890075683594,66.38497161865234,20.361328125,55.078125,32.177734375,55.078125,0.0,0.0
20171218150000,102470.4345703125,102440.78979492188,-4.462066650390625,-4.650918960571289,291.3424530029297,67.22858238220215,26.5625,62.6953125,30.46875,62.6953125,0.0,0.0
20171218160000,102440.64331054688,102403.79638671875,-4.487451553344727,-4.581899642944336,291.1566925048828,69.42888259887695,23.53515625,58.740234375,0.0,58.740234375,0.0,0.0
20171218170000,102421.86889648438,102388.0615234375,-4.788293838500977,-4.206821441650391,291.0088653564453,72.2728500366211,22.802734375,58.349609375,0.0,58.349609375,0.1171875,0.0
20171218180000,102396.03881835938,102370.05004882812,-4.829742431640625,-3.516429901123047,290.6768341064453,75.85018539428711,21.826171875,73.876953125,0.0,73.876953125,,
20171218190000,,,,,,,,,,,,
20171218200000,,,,,,,,,,,,
20171218210000,,,,,,,,,,,,
20171218220000,,,,,,,,,,,,
20171218230000,,,,,,,,,,,,
20171219000000,,,,,,,,,,,,
20171219010000,,,,,,,,,,,,
20171219020000,,,,,,,,,,,,
