,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20150630030000,100645.56274414062,100624.2919921875,4.558557510375977,6.400106430053711,302.4284973144531,88.21517753601074,12.6953125,13.8671875,57.763671875,57.763671875,0.0
20150630040000,100608.05053710938,100581.80541992188,4.469748497009277,6.558252334594727,302.46307373046875,86.29413032531738,4.150390625,3.80859375,52.05078125,52.05078125,0.0
20150630050000,100558.44116210938,100541.69921875,4.116440773010254,6.784804344177246,302.46087646484375,85.86991882324219,10.595703125,19.62890625,88.818359375,88.818359375,0.0
20150630060000,100551.11083984375,100530.35278320312,3.8798036575317383,7.238589286804199,302.43658447265625,86.74863624572754,19.384765625,38.8671875,64.0625,64.0625,0.0
20150630070000,100472.51586914062,100454.6875,4.387767791748047,7.964452743530273,302.3826904296875,87.2808952331543,31.54296875,42.7734375,73.876953125,73.876953125,0.453125
20150630080000,100463.67797851562,100448.9990234375,5.150546073913574,7.594308853149414,302.4287109375,86.99803733825684,38.037109375,38.18359375,72.509765625,72.509765625,0.65625
20150630090000,100468.98193359375,100451.66625976562,5.086498260498047,7.410981178283691,302.49761962890625,85.56898498535156,28.955078125,37.98828125,59.9609375,59.9609375,0.0
20150630100000,100497.39379882812,100472.25952148438,4.965160369873047,7.150565147399902,302.42755126953125,87.05335235595703,26.26953125,32.71484375,86.962890625,86.962890625,0.0
20150630110000,100542.49877929688,100526.83715820312,4.711922645568848,7.353157043457031,302.42205810546875,87.45319747924805,26.85546875,40.234375,64.84375,64.84375,0.0
20150630120000,100571.74682617188,100548.39477539062,4.222787857055664,7.532236099243164,302.3844299316406,88.18439483642578,31.93359375,42.67578125,72.998046875,72.998046875,0.0
20150630130000,100617.333984375,100602.85034179688,4.599761962890625,7.240445137023926,302.4566955566406,87.31614875793457,18.65234375,49.31640625,74.12109375,74.12109375,0.0
20150630140000,100608.5693359375,100587.68310546875,4.492007255554199,7.612672805786133,302.42095947265625,87.25579071044922,28.7109375,40.478515625,70.751953125,70.751953125,0.0
20150630150000,100556.69555664062,100533.29467773438,4.603328704833984,8.32812213897705,302.4584655761719,85.95524978637695,34.9609375,24.365234375,50.244140625,50.244140625,0.0
20150630160000,100518.40209960938,100493.49365234375,4.808597564697266,8.361598014831543,302.454345703125,85.35380363464355,32.32421875,15.91796875,23.53515625,32.6171875,0.0
20150630170000,100475.39672851562,100455.2978515625,4.882040977478027,8.75018310546875,302.44268798828125,85.01431465148926,30.517578125,7.421875,21.142578125,31.4453125,0.0
20150630180000,100460.61401367188,100434.58251953125,5.384881973266602,8.84131908416748,302.47625732421875,83.31200218200684,33.349609375,10.3515625,7.470703125,33.349609375,
20150630190000,,,,,,,,,,,
20150630200000,,,,,,,,,,,
20150630210000,,,,,,,,,,,
20150630220000,,,,,,,,,,,
20150630230000,,,,,,,,,,,
20150701000000,,,,,,,,,,,
20150701010000,,,,,,,,,,,
20150701020000,,,,,,,,,,,
