,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20170119030000,101876.86157226562,101854.833984375,0.24784564971923828,-6.045314788818359,295.1103515625,80.70022010803223,23.828125,40.966796875,0.0,40.966796875,0.0
20170119040000,101752.47802734375,101727.85034179688,-0.03353595733642578,-5.444744110107422,295.16786193847656,79.54098129272461,24.70703125,37.3046875,0.0,37.3046875,0.0
20170119050000,101713.427734375,101689.97802734375,0.2849855422973633,-5.877229690551758,295.1371765136719,78.72155570983887,23.583984375,54.736328125,0.0,54.736328125,0.0
20170119060000,101708.6669921875,101685.64453125,0.755518913269043,-6.6624755859375,295.2140350341797,78.36748504638672,25.146484375,36.279296875,0.0,36.279296875,0.0078125
20170119070000,101671.12426757812,101648.53515625,0.09085559844970703,-7.733205795288086,295.15325927734375,77.45125198364258,28.90625,32.373046875,0.0,32.373046875,0.0078125
20170119080000,101726.81274414062,101703.82690429688,0.2582988739013672,-8.313501358032227,295.12855529785156,74.96570205688477,37.01171875,42.67578125,0.0,42.67578125,0.0
20170119090000,101784.44213867188,101762.62817382812,0.44904041290283203,-7.447500228881836,295.0069885253906,73.0738639831543,27.783203125,55.908203125,0.0,55.908203125,0.0390625
20170119100000,101845.00732421875,101826.60522460938,1.1222314834594727,-7.815576553344727,294.88963317871094,73.18411254882812,39.111328125,77.783203125,0.0,77.783203125,0.34375
20170119110000,101905.55419921875,101887.33520507812,2.321371078491211,-8.189552307128906,294.65147399902344,73.4237117767334,43.359375,74.169921875,0.0,74.169921875,0.2421875
20170119120000,101943.017578125,101920.0927734375,2.67855167388916,-8.309118270874023,294.32470703125,73.13252449035645,39.697265625,52.734375,0.0,52.734375,0.0
20170119130000,101939.22729492188,101921.32568359375,3.2035675048828125,-8.602723121643066,294.25152587890625,70.5051498413086,47.412109375,62.109375,0.0,62.109375,0.0
20170119140000,101929.81567382812,101910.51025390625,3.1116132736206055,-8.640289306640625,294.00209045410156,69.56405830383301,35.595703125,45.068359375,0.0,45.068359375,0.0
20170119150000,101906.63452148438,101889.34326171875,1.9544439315795898,-7.407506942749023,293.9441223144531,67.51712989807129,16.455078125,40.283203125,0.0,40.283203125,0.0
20170119160000,101897.65014648438,101870.64819335938,2.2361764907836914,-7.411945343017578,293.9628601074219,68.05253219604492,35.3515625,86.474609375,0.0,86.474609375,0.0
20170119170000,101900.927734375,101882.33642578125,3.540983200073242,-9.210494995117188,293.702392578125,70.20911598205566,29.58984375,57.32421875,0.0,57.32421875,0.0
20170119180000,101897.03979492188,101875.35400390625,4.251601219177246,-9.234760284423828,293.4347839355469,70.54078102111816,28.7109375,71.77734375,0.0,71.77734375,
20170119190000,,,,,,,,,,,
20170119200000,,,,,,,,,,,
20170119210000,,,,,,,,,,,
20170119220000,,,,,,,,,,,
20170119230000,,,,,,,,,,,
20170120000000,,,,,,,,,,,
20170120010000,,,,,,,,,,,
20170120020000,,,,,,,,,,,
