,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20150502030000,101390.74096679688,101369.62890625,-3.023686408996582,1.927293300628662,296.0145568847656,71.80130767822266,0.5859375,37.40234375,5.712890625,37.40234375,0.0
20150502040000,101384.43603515625,101366.99829101562,-2.6342649459838867,2.6338768005371094,295.9231872558594,72.82649040222168,0.68359375,42.724609375,8.203125,42.724609375,0.0
20150502050000,101277.1484375,101261.09008789062,-1.4852886199951172,3.7292399406433105,295.7569885253906,74.44736671447754,0.0,39.35546875,37.646484375,41.11328125,0.0
20150502060000,101272.79052734375,101246.83227539062,-1.1053476333618164,3.5321226119995117,295.7823791503906,74.34847831726074,0.0,38.37890625,74.0234375,74.0234375,0.0
20150502070000,101232.2021484375,101205.25512695312,-0.1200113296508789,3.9719486236572266,295.830078125,73.81906127929688,1.07421875,44.0673828125,23.73046875,44.04296875,0.0
20150502080000,101259.34448242188,101232.87963867188,0.4776496887207031,3.5078978538513184,295.9190979003906,73.72515869140625,4.296875,46.826171875,35.3515625,46.826171875,0.0
20150502090000,101261.8408203125,101240.17333984375,-0.23982715606689453,2.7727718353271484,296.0489501953125,73.92829513549805,2.783203125,43.603515625,54.443359375,54.443359375,0.0
20150502100000,101309.14916992188,101285.65063476562,0.0585174560546875,2.5464725494384766,296.12933349609375,74.20187377929688,0.0,47.998046875,64.84375,64.84375,0.0
20150502110000,101318.2861328125,101302.30712890625,-1.1632347106933594,2.3521575927734375,296.1376647949219,74.99554634094238,0.0,56.640625,50.5859375,56.8359375,0.0
20150502120000,101355.82885742188,101334.14916992188,-1.4003963470458984,1.9450387954711914,296.1563720703125,75.6268196105957,0.0,44.775390625,51.3671875,51.3671875,0.0
20150502130000,101386.76147460938,101365.44189453125,-1.7198009490966797,2.7717666625976562,296.175537109375,76.7509593963623,0.0,61.376953125,48.388671875,61.376953125,0.0
20150502140000,101369.98901367188,101346.52709960938,-1.4405555725097656,3.898305892944336,296.2550354003906,76.96729946136475,0.0,45.80078125,45.068359375,46.77734375,0.0
20150502150000,101299.560546875,101279.49829101562,-1.5337810516357422,4.905281066894531,296.3130798339844,77.83932971954346,0.0,38.4765625,50.1953125,50.1953125,0.0
20150502160000,101251.82495117188,101236.71264648438,-1.0767803192138672,5.309069633483887,296.462158203125,76.66749572753906,0.0,39.990234375,80.908203125,80.908203125,0.0
20150502170000,101189.1357421875,101167.17529296875,-1.1844749450683594,5.349336624145508,296.5478210449219,75.27334213256836,28.076171875,43.1640625,27.44140625,43.1640625,0.0
20150502180000,101126.2451171875,101102.09350585938,-1.5415353775024414,6.318302154541016,296.64031982421875,75.26561737060547,18.798828125,40.283203125,38.671875,42.236328125,
20150502190000,,,,,,,,,,,
20150502200000,,,,,,,,,,,
20150502210000,,,,,,,,,,,
20150502220000,,,,,,,,,,,
20150502230000,,,,,,,,,,,
20150503000000,,,,,,,,,,,
20150503010000,,,,,,,,,,,
20150503020000,,,,,,,,,,,
