,Geop1000,u-co1000,v-co1000,Temp1000,Vert1000,Rela1000,Geop975,u-co975,v-co975,Temp975,Vert975,Rela975,Geop950,u-co950,v-co950,Temp950,Vert950,Rela950,Geop925,u-co925,v-co925,Temp925,Vert925,Rela925,Geop900,u-co900,v-co900,Temp900,Vert900,Rela900,Geop850,u-co850,v-co850,Temp850,Vert850,Rela850,Geop800,u-co800,v-co800,Temp800,Vert800,Rela800,Geop700,u-co700,v-co700,Temp700,Vert700,Rela700,Geop600,u-co600,v-co600,Temp600,Vert600,Rela600,Geop500,u-co500,v-co500,Temp500,Vert500,Rela500,Geop400,u-co400,v-co400,Temp400,Vert400,Rela400,Geop300,u-co300,v-co300,Temp300,Vert300,Rela300,Geop250,u-co250,v-co250,Temp250,Vert250,Rela250,Geop200,u-co200,v-co200,Temp200,Vert200,Rela200,Geop150,u-co150,v-co150,Temp150,Vert150,Rela150,Geop100,u-co100,v-co100,Temp100,Vert100,Rela100
20150511030000,125.43559646606445,-6.119815826416016,5.702027320861816,298.4525451660156,0.13209033012390137,90.0897159576416,348.2635192871094,-7.318307876586914,7.910042762756348,296.769775390625,0.13685369491577148,91.87183570861816,575.7055358886719,-6.763053894042969,9.427411079406738,295.7295837402344,0.013020992279052734,82.51903533935547,808.0933227539062,-4.379415512084961,10.466976165771484,294.5566711425781,-0.23750019073486328,78.22814607620239,1045.614013671875,-2.9320526123046875,9.98831844329834,293.05322265625,-0.3882598876953125,76.93176245689392,1536.8560791015625,-1.8588619232177734,10.193458557128906,290.35845947265625,-0.3822288513183594,72.42472195625305,2052.8658447265625,-2.605499267578125,10.040731430053711,287.66864013671875,-0.25688838958740234,70.92367792129517,3173.541748046875,2.476991653442383,11.141302108764648,282.98748779296875,-0.24486732482910156,48.86192989349365,4435.94091796875,5.220573425292969,12.699792861938477,274.95960998535156,-0.12552261352539062,39.68746626377106,5879.876953125,7.372897148132324,13.726268768310547,265.88665771484375,-0.15396499633789062,25.59436047077179,7587.96142578125,11.191429257392883,16.292495727539062,256.72752380371094,-0.03285408020019531,56.28298217058182,9698.46484375,15.864600777626038,10.62082290649414,244.1256866455078,-0.1395244598388672,86.86192238330841,10973.7763671875,22.25453132390976,15.432743072509766,234.38902282714844,0.0702216625213623,,12469.3466796875,28.808757066726685,7.8565673828125,223.12814331054688,0.06655573844909668,,14286.705078125,27.20573091506958,6.162986755371094,208.50152587890625,-0.07728409767150879,,16663.78515625,17.84661865234375,3.442445755004883,195.15103149414062,-0.0009064078330993652,
20150511040000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511060000,118.3864574432373,-6.144224166870117,5.891653060913086,298.3410339355469,0.26223063468933105,90.3952751159668,341.1790313720703,-6.894031524658203,8.544683456420898,296.7003479003906,0.3630685806274414,90.35546684265137,568.5357360839844,-4.967859268188477,10.695474624633789,295.357666015625,0.1464996337890625,91.36721611022949,800.750732421875,-2.0502700805664062,11.36347770690918,294.0996398925781,-0.004525184631347656,93.69142603874207,1038.4015502929688,-1.0312347412109375,11.41453742980957,293.04766845703125,-0.08325958251953125,87.04105472564697,1529.7813720703125,-0.3031272888183594,11.075362205505371,290.1431579589844,-0.07304573059082031,73.19616484642029,2045.35498046875,1.0007686614990234,12.360784530639648,288.2013854980469,0.05917930603027344,51.9166145324707,3165.0361328125,4.166284561157227,12.457468032836914,282.7757873535156,0.32011985778808594,36.553834319114685,4426.0068359375,5.008344650268555,13.074960708618164,275.0848693847656,0.2732276916503906,18.368838667869568,5868.19873046875,5.2554931640625,18.051273345947266,265.0725402832031,0.23322677612304688,40.21707606315613,7576.7353515625,14.461435437202454,17.746829986572266,257.53704833984375,-0.4012479782104492,87.75020533800125,9695.2509765625,18.418490648269653,10.864025115966797,245.19171142578125,-0.6181125640869141,93.53261232376099,10977.2197265625,18.936381101608276,10.232254028320312,234.921630859375,-0.18321466445922852,,12469.56640625,23.04544687271118,11.70562744140625,221.96044921875,-0.08408594131469727,,14278.396484375,26.34273898601532,8.207307815551758,208.25038146972656,-0.025966882705688477,,16652.1123046875,16.503939628601074,3.5683670043945312,195.19683837890625,0.02082204818725586,
20150511070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511080000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511090000,106.05744171142578,-6.843194961547852,4.785505294799805,298.19415283203125,0.22963166236877441,91.30080032348633,328.99147033691406,-8.022113800048828,8.105134963989258,296.981689453125,0.2723503112792969,91.66405010223389,556.6194763183594,-6.185626983642578,10.179950714111328,295.6217956542969,0.17922592163085938,95.56690883636475,789.2618408203125,-3.8695297241210938,10.859031677246094,294.2683410644531,0.1654815673828125,95.23374581336975,1027.0916137695312,-3.1573867797851562,10.433256149291992,293.4580993652344,0.1315135955810547,88.19635820388794,1519.718017578125,-2.076263427734375,11.654230117797852,290.6647033691406,0.01758575439453125,86.39474678039551,2037.107421875,3.7334251403808594,11.177349090576172,289.0633239746094,0.02390289306640625,53.849658727645874,3158.483642578125,4.163713455200195,11.861005783081055,282.968017578125,0.08385467529296875,26.658910989761353,4418.735595703125,3.3508033752441406,15.141468048095703,274.6021423339844,0.09167861938476562,20.22984778881073,5858.09619140625,5.1868133544921875,23.00826644897461,265.19032287597656,0.3717002868652344,64.52945363521576,7570.208984375,15.070385932922363,21.469451904296875,257.63966369628906,-0.16357421875,86.92838549613953,9690.24609375,13.13405179977417,7.498493194580078,245.17884826660156,0.062103271484375,81.57399260997772,10971.8701171875,15.020060896873474,8.775199890136719,235.35450744628906,-0.2617835998535156,,12465.9365234375,16.206345796585083,11.853588104248047,222.21714782714844,-0.3389549255371094,,14275.0576171875,27.491076231002808,7.700252532958984,208.0838165283203,0.01180267333984375,,16648.5546875,16.46370506286621,2.4664134979248047,195.11636352539062,0.0004982948303222656,
20150511100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511120000,109.0447006225586,-8.129255294799805,6.308807373046875,298.09332275390625,0.07122802734375,93.32525062561035,332.033447265625,-10.041290283203125,10.883543014526367,296.9440612792969,-0.1013951301574707,97.4067440032959,559.9976806640625,-6.3358612060546875,12.383586883544922,296.0614013671875,-0.24433612823486328,96.28613805770874,793.1161499023438,-3.652935028076172,11.223529815673828,295.1539611816406,-0.27790260314941406,93.11527252197266,1031.7503662109375,-2.1733322143554688,10.308847427368164,294.06219482421875,-0.33783912658691406,89.94009137153625,1525.6680908203125,-0.7663726806640625,11.217752456665039,291.3697204589844,-0.41396331787109375,81.19208335876465,2043.6365966796875,2.2258949279785156,11.972579956054688,288.7222595214844,-0.43431854248046875,70.21048092842102,3165.0986328125,3.4024524688720703,13.796279907226562,282.44232177734375,-0.1629791259765625,53.15583622455597,4423.911865234375,3.4472532272338867,17.877357482910156,273.84307861328125,0.2603492736816406,17.607585191726685,5861.32177734375,9.520246505737305,25.719449996948242,266.1023712158203,0.13354873657226562,84.93784141540527,7576.08837890625,16.82026481628418,7.3822479248046875,258.14405822753906,-0.12926101684570312,96.63998955488205,9697.2373046875,13.650570750236511,11.744224548339844,244.44749450683594,-0.12120246887207031,89.63304620981216,10975.8857421875,17.13324213027954,9.74542236328125,234.69288635253906,-0.043384552001953125,,12467.529296875,17.179595470428467,14.296867370605469,222.1396026611328,-0.028217315673828125,,14277.4599609375,27.914119243621826,8.802173614501953,207.45486450195312,-0.06503009796142578,,16650.4287109375,16.500386238098145,3.8567733764648438,195.34344482421875,0.026877403259277344,
20150511130000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511140000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511150000,104.53034210205078,-3.220703125,11.734567642211914,298.2187805175781,0.1820542812347412,97.87315845489502,327.7432861328125,-1.0497779846191406,14.13386344909668,297.199951171875,0.36875486373901367,97.38176155090332,556.0408630371094,0.47554779052734375,13.748298645019531,296.8074035644531,0.5789623260498047,87.96920847892761,789.5895385742188,0.3811225891113281,13.757617950439453,295.6670227050781,0.8211545944213867,86.12398600578308,1028.454833984375,0.2419891357421875,14.792379379272461,294.2583312988281,1.0331268310546875,85.24850583076477,1522.07275390625,1.5511398315429688,15.038579940795898,291.081787109375,1.3393402099609375,85.44977450370789,2040.0828857421875,2.119457244873047,14.848190307617188,288.8032531738281,1.4512062072753906,69.14745140075684,3160.931640625,4.429832458496094,17.510717391967773,281.6024169921875,0.7133445739746094,60.37959015369415,4410.760986328125,0.6529550552368164,20.722848892211914,271.52381896972656,0.5584754943847656,47.94787406921387,5850.369140625,17.184005737304688,19.99898910522461,266.79742431640625,-0.6779670715332031,97.00969445705414,7567.78857421875,10.976243019104004,5.575925827026367,257.8920135498047,-0.2809638977050781,94.21115970611572,9688.333984375,13.462452411651611,14.23227310180664,244.8009033203125,0.01970672607421875,75.86755234003067,10965.748046875,16.225666999816895,14.177291870117188,234.1739044189453,0.10404586791992188,,12454.919921875,19.275413513183594,14.368114471435547,221.87261962890625,-0.051486968994140625,,14264.5732421875,25.043859481811523,12.108360290527344,208.0388641357422,0.2003459930419922,,16645.037109375,17.97007989883423,6.455532073974609,195.8583221435547,0.0136260986328125,
20150511160000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511170000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511180000,80.60576629638672,-4.224178314208984,10.702741622924805,298.35675048828125,0.15517091751098633,92.4537763595581,303.90084075927734,-3.880796432495117,17.24025535583496,297.6051940917969,0.27793264389038086,88.59755229949951,532.1517944335938,-2.391429901123047,19.547805786132812,296.46142578125,0.3107728958129883,88.08063173294067,765.0822143554688,-1.239837646484375,19.86892604827881,294.8970642089844,0.35591697692871094,85.92795324325562,1003.0576782226562,-0.6422119140625,19.7892484664917,293.40972900390625,0.4126873016357422,83.6242024898529,1496.0191650390625,-2.0689125061035156,18.56300640106201,291.3541259765625,0.3572654724121094,72.73042678833008,2013.6180419921875,-0.08493995666503906,18.442462921142578,288.71234130859375,0.3155517578125,64.00747871398926,3134.421630859375,2.362743377685547,20.62066078186035,282.0422058105469,-0.22508621215820312,41.56724560260773,4389.147705078125,10.831122398376465,25.62315845489502,273.41542053222656,0.08787155151367188,72.73916387557983,5836.5322265625,16.5481014251709,5.960126876831055,266.9114074707031,0.02683258056640625,97.03582179546356,7554.62939453125,12.947057723999023,9.221506118774414,257.7128601074219,0.008148193359375,83.32915264368057,9670.658203125,19.191158294677734,9.00191879272461,244.34454345703125,0.33600616455078125,22.163418531417847,10946.6201171875,20.794541358947754,11.147529602050781,233.95774841308594,0.12750625610351562,,12433.5,24.16180992126465,17.31928253173828,221.3150177001953,0.12487030029296875,,14238.2197265625,32.26401710510254,12.676239013671875,207.77098083496094,0.15506553649902344,,16627.328125,18.32468581199646,6.976449966430664,196.4405059814453,-0.02596449851989746,
20150511190000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511210000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511220000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150511230000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150512000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150512010000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20150512020000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
