,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation,Downward short-wave radiation flux
20171205030000,102059.24682617188,102025.18310546875,1.2677021026611328,-9.870803833007812,292.1424102783203,60.54325580596924,24.462890625,37.548828125,0.0,37.548828125,0.0,450.4491195678711
20171205040000,102054.31518554688,102018.08471679688,1.7687549591064453,-11.27882194519043,291.5425109863281,62.311524391174316,28.271484375,41.015625,0.0,41.015625,0.0,441.6736545562744
20171205050000,102074.5361328125,102047.69897460938,2.0266056060791016,-11.577800750732422,291.3225555419922,61.99654674530029,26.5625,41.796875,0.0,41.796875,0.0,343.80863857269287
20171205060000,102053.9306640625,102025.03051757812,2.047128677368164,-11.607349395751953,291.0296630859375,63.46651554107666,30.126953125,46.923828125,0.0,46.923828125,0.0,231.125
20171205070000,102023.19946289062,101984.35668945312,1.3984355926513672,-11.667121887207031,290.8384552001953,64.0450792312622,31.54296875,45.80078125,0.0,45.80078125,0.0,109.875
20171205080000,102069.08569335938,102039.20288085938,1.1648750305175781,-10.926555633544922,290.7428436279297,62.268062591552734,24.70703125,40.087890625,0.0,40.087890625,0.0,12.375
20171205090000,102136.50512695312,102097.49145507812,-0.09729957580566406,-11.065309524536133,290.62554931640625,66.4263687133789,40.771484375,50.048828125,0.0,50.048828125,0.0,0.0
20171205100000,102205.84106445312,102168.37158203125,0.45418357849121094,-11.340953826904297,290.5791015625,63.495914459228516,30.322265625,48.14453125,0.0,48.14453125,0.0,0.0
20171205110000,102243.23120117188,102214.34326171875,-0.13202667236328125,-10.78297233581543,290.3567352294922,63.64828872680664,31.884765625,48.876953125,0.0,48.876953125,0.0,0.0
20171205120000,102245.30639648438,102210.09521484375,-0.8245563507080078,-10.376901626586914,290.227783203125,64.67093467712402,39.16015625,52.5390625,0.0,52.5390625,0.0,0.0
20171205130000,102224.0234375,102184.64965820312,-0.7879247665405273,-9.683765411376953,290.12388610839844,63.74162483215332,35.05859375,50.5859375,0.0,50.5859375,0.0,0.0
20171205140000,102204.443359375,102176.81884765625,-0.8220024108886719,-9.019367218017578,290.00559997558594,63.03866958618164,31.34765625,48.046875,0.0,48.046875,0.0,0.0
20171205150000,102176.96533203125,102143.91479492188,-0.8348579406738281,-8.390726089477539,289.8805847167969,63.621835708618164,34.033203125,47.900390625,0.0,47.900390625,0.0,0.0
20171205160000,102148.27270507812,102110.85815429688,-0.8358802795410156,-7.856935501098633,289.822998046875,62.8275260925293,35.107421875,50.48828125,0.0,50.48828125,0.0,0.0
20171205170000,102136.59057617188,102102.16064453125,-0.6308403015136719,-7.528005599975586,289.7797393798828,61.86919593811035,34.5703125,53.369140625,0.0,53.369140625,0.0,0.0
20171205180000,102121.96044921875,102092.85278320312,-0.4045677185058594,-7.332252502441406,289.6775207519531,61.59823989868164,36.572265625,54.00390625,0.0,54.00390625,,
20171205190000,,,,,,,,,,,,
20171205200000,,,,,,,,,,,,
20171205210000,,,,,,,,,,,,
20171205220000,,,,,,,,,,,,
20171205230000,,,,,,,,,,,,
20171206000000,,,,,,,,,,,,
20171206010000,,,,,,,,,,,,
20171206020000,,,,,,,,,,,,
