,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20170122030000,102568.9208984375,102552.74047851562,2.8951187133789062,-8.157373428344727,290.21302795410156,58.01203536987305,16.5283203125,35.693359375,0.0,35.693359375,0.0
20170122040000,102540.67993164062,102516.11328125,3.4126806259155273,-8.857246398925781,290.2136535644531,58.831098556518555,16.259765625,19.091796875,0.0,19.091796875,0.0
20170122050000,102533.0322265625,102504.4921875,3.40212345123291,-10.009099960327148,290.2431640625,60.4892578125,17.138671875,17.041015625,0.0,17.236328125,0.0
20170122060000,102504.66918945312,102479.18090820312,3.2408342361450195,-10.525859832763672,289.9701385498047,60.09133815765381,16.259765625,17.333984375,0.0,17.3828125,0.0
20170122070000,102510.2294921875,102493.65234375,3.106106758117676,-10.595518112182617,289.7904357910156,60.46365261077881,15.2099609375,11.71875,0.0,15.234375,0.0
20170122080000,102564.03198242188,102547.49755859375,2.8847951889038086,-11.635595321655273,289.63604736328125,61.8648567199707,15.087890625,12.451171875,0.0,15.33203125,0.0
20170122090000,102605.49926757812,102579.91333007812,2.129251480102539,-12.003324508666992,289.5745544433594,62.02167892456055,14.6484375,18.9453125,0.0,18.9453125,0.0
20170122100000,102671.25244140625,102648.95629882812,1.2328224182128906,-12.193403244018555,289.5616149902344,63.140859603881836,14.990234375,21.142578125,0.0,21.142578125,0.0
20170122110000,102745.05004882812,102717.98095703125,0.9458761215209961,-11.823953628540039,289.30714416503906,61.50414276123047,16.69921875,12.353515625,0.0,16.69921875,0.0
20170122120000,102762.42065429688,102734.89379882812,0.14907264709472656,-11.489679336547852,289.2940673828125,62.56450271606445,22.412109375,49.70703125,0.0,49.70703125,0.0
20170122130000,102766.6015625,102745.24536132812,0.037899017333984375,-10.14723014831543,289.05128479003906,60.16680717468262,14.599609375,6.982421875,0.0,14.599609375,0.0
20170122140000,102753.08227539062,102727.3681640625,-0.17878246307373047,-11.40437126159668,289.1179504394531,64.88833999633789,23.828125,32.6171875,0.0,32.666015625,0.0
20170122150000,102753.22265625,102735.546875,-0.09683990478515625,-9.473106384277344,288.74339294433594,61.56096649169922,27.099609375,54.1015625,0.0,54.1015625,0.0
20170122160000,102750.18920898438,102731.38427734375,0.5094947814941406,-9.969572067260742,288.76666259765625,61.10347938537598,24.365234375,49.951171875,0.0,49.951171875,0.0
20170122170000,102728.1005859375,102701.89819335938,0.6496791839599609,-9.64018440246582,288.92222595214844,61.92247009277344,20.60546875,29.833984375,0.0,29.833984375,0.0
20170122180000,102699.30419921875,102678.173828125,1.0290546417236328,-9.45640754699707,288.9484558105469,62.21703338623047,18.84765625,28.466796875,0.0,28.466796875,
20170122190000,,,,,,,,,,,
20170122200000,,,,,,,,,,,
20170122210000,,,,,,,,,,,
20170122220000,,,,,,,,,,,
20170122230000,,,,,,,,,,,
20170123000000,,,,,,,,,,,
20170123010000,,,,,,,,,,,
20170123020000,,,,,,,,,,,
