,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20160912030000,101146.9970703125,101131.97631835938,0.12224674224853516,5.961713790893555,301.17474365234375,82.49624252319336,10.205078125,80.712890625,79.58984375,81.34765625,2.125
20160912040000,101126.51977539062,101102.31323242188,0.9980611801147461,5.337554931640625,301.6387634277344,84.30017471313477,8.984375,63.37890625,50.87890625,63.623046875,0.03125
20160912050000,101079.07104492188,101058.25805664062,0.4713478088378906,5.761589050292969,301.9870910644531,76.68668746948242,9.423828125,68.65234375,55.126953125,69.23828125,0.0
20160912060000,101072.81494140625,101053.67431640625,0.9052181243896484,4.863058090209961,301.64154052734375,82.97962188720703,15.72265625,73.876953125,31.298828125,73.876953125,0.359375
20160912070000,101071.82006835938,101047.7294921875,-0.04845905303955078,5.123586654663086,301.4225158691406,84.80033874511719,18.45703125,54.248046875,76.708984375,77.197265625,0.875
20160912080000,101137.46337890625,101121.9482421875,-0.6734247207641602,3.977132797241211,301.1925964355469,83.40735626220703,13.525390625,51.7578125,83.544921875,83.544921875,0.171875
20160912090000,101163.8916015625,101142.17529296875,-0.0552825927734375,3.473489761352539,301.6347961425781,79.12173843383789,16.552734375,52.783203125,84.27734375,84.27734375,0.0
20160912100000,101200.28076171875,101179.43115234375,-0.1473541259765625,3.5301437377929688,301.7023010253906,78.59889602661133,12.158203125,58.59375,39.208984375,58.59375,0.0
20160912110000,101283.74633789062,101259.58251953125,-0.9012184143066406,3.111466407775879,301.7198791503906,78.72359085083008,8.59375,45.654296875,34.716796875,45.654296875,0.0
20160912120000,101361.49291992188,101336.68212890625,-1.8014354705810547,3.1548538208007812,301.6590881347656,80.9163703918457,15.185546875,33.544921875,17.7734375,33.544921875,0.0
20160912130000,101373.48022460938,101355.24291992188,-1.9593677520751953,2.753307342529297,301.57305908203125,83.93414306640625,10.693359375,23.193359375,4.296875,23.193359375,0.0
20160912140000,101331.60400390625,101310.58959960938,-1.9208564758300781,2.303173065185547,301.5348205566406,84.45149993896484,8.69140625,14.697265625,1.171875,14.697265625,0.0
20160912150000,101294.140625,101274.33471679688,-2.432769775390625,2.527933120727539,301.5509033203125,84.84966278076172,23.2421875,26.513671875,1.7578125,27.734375,0.0
20160912160000,101275.61645507812,101255.98754882812,-2.4037914276123047,2.9179019927978516,301.7632751464844,82.0787582397461,19.82421875,16.2109375,2.783203125,20.60546875,0.0
20160912170000,101249.77416992188,101224.5849609375,-3.080259323120117,2.829099655151367,301.7734069824219,83.10454177856445,25.29296875,21.044921875,37.109375,37.109375,0.0
20160912180000,101231.71997070312,101204.91333007812,-2.8830032348632812,3.0817718505859375,301.81585693359375,81.52130508422852,17.138671875,10.400390625,39.013671875,39.013671875,
20160912190000,,,,,,,,,,,
20160912200000,,,,,,,,,,,
20160912210000,,,,,,,,,,,
20160912220000,,,,,,,,,,,
20160912230000,,,,,,,,,,,
20160913000000,,,,,,,,,,,
20160913010000,,,,,,,,,,,
20160913020000,,,,,,,,,,,
