,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20160923030000,101238.90380859375,101212.34741210938,-3.982067108154297,-5.244029998779297,301.321044921875,73.37274932861328,40.0390625,27.490234375,0.0,40.0390625,0.0
20160923040000,101159.38720703125,101132.76977539062,-4.255256652832031,-4.631285667419434,301.6064758300781,72.09542465209961,38.8671875,25.927734375,0.0,38.8671875,0.0
20160923050000,101111.00463867188,101094.7509765625,-4.591772079467773,-4.200813293457031,301.73455810546875,71.19282531738281,39.697265625,28.466796875,0.0,39.697265625,0.0
20160923060000,101142.1142578125,101125.9521484375,-4.429845809936523,-5.382201194763184,301.5693664550781,71.11661911010742,39.55078125,59.912109375,16.11328125,59.912109375,0.0
20160923070000,101115.75317382812,101099.16381835938,-4.801061630249023,-5.408633232116699,301.27264404296875,72.97186660766602,40.91796875,42.822265625,0.0,43.017578125,0.0
20160923080000,101133.64868164062,101112.890625,-5.560941696166992,-4.842023849487305,300.91790771484375,75.99275588989258,44.921875,54.443359375,30.17578125,54.443359375,0.15625
20160923090000,101160.92529296875,101139.69116210938,-4.552799224853516,-3.9066762924194336,300.5314636230469,79.06352996826172,43.65234375,43.603515625,32.373046875,45.60546875,0.140625
20160923100000,101174.6826171875,101147.39990234375,-4.261447906494141,-4.324217796325684,300.7718505859375,77.2320556640625,42.7734375,41.2109375,13.4765625,42.7734375,0.0
20160923110000,101198.41918945312,101179.69970703125,-4.0870819091796875,-4.188474655151367,300.82135009765625,76.21999740600586,33.0078125,28.90625,0.0,33.0078125,0.0
20160923120000,101196.8017578125,101178.0029296875,-4.284929275512695,-3.500443458557129,300.744384765625,76.39716339111328,31.0546875,23.291015625,25.439453125,31.0546875,0.0
20160923130000,101194.1162109375,101179.38842773438,-3.2655420303344727,-4.265448570251465,300.8094482421875,77.48642349243164,37.59765625,34.1796875,36.42578125,37.939453125,0.0
20160923140000,101166.29638671875,101141.83349609375,-3.454977035522461,-4.15625,300.8412780761719,78.4782829284668,34.619140625,42.08984375,13.330078125,42.08984375,0.0
20160923150000,101134.28344726562,101107.94677734375,-3.255732536315918,-4.159708023071289,300.77996826171875,79.30834579467773,38.818359375,45.80078125,50.87890625,50.87890625,0.0
20160923160000,101080.01708984375,101064.07470703125,-3.20102596282959,-4.395001411437988,300.78826904296875,79.86249923706055,26.708984375,42.48046875,38.330078125,42.48046875,0.0
20160923170000,101035.57739257812,101013.4765625,-3.405946731567383,-3.5925607681274414,300.75628662109375,81.17117309570312,35.7421875,35.009765625,64.35546875,64.35546875,0.015625
20160923180000,101009.96704101562,100992.35229492188,-2.4995718002319336,-4.334689140319824,300.7054443359375,82.2855110168457,39.35546875,40.13671875,5.078125,40.13671875,
20160923190000,,,,,,,,,,,
20160923200000,,,,,,,,,,,
20160923210000,,,,,,,,,,,
20160923220000,,,,,,,,,,,
20160923230000,,,,,,,,,,,
20160924000000,,,,,,,,,,,
20160924010000,,,,,,,,,,,
20160924020000,,,,,,,,,,,
