,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20170402030000,102176.30615234375,102141.9189453125,0.9143753051757812,-10.19434928894043,291.1358642578125,47.35374450683594,0.0,3.369140625,0.0,3.369140625,0.0
20170402040000,102155.56030273438,102117.88330078125,0.9972038269042969,-11.094812393188477,290.9625244140625,49.059669494628906,0.341796875,6.103515625,0.0,6.103515625,0.0
20170402050000,102200.4638671875,102168.76220703125,1.2869863510131836,-10.81916618347168,290.8827819824219,50.09436321258545,0.537109375,3.125,0.0,3.125,0.0
20170402060000,102175.50048828125,102145.98999023438,1.512033462524414,-10.79010009765625,290.8824768066406,49.65456485748291,0.0,0.09765625,0.0,0.09765625,0.0
20170402070000,102135.36376953125,102102.34375,1.5879125595092773,-11.112590789794922,290.8713684082031,49.9854097366333,0.0,0.048828125,0.0,0.048828125,0.0
20170402080000,102160.41259765625,102124.609375,1.8031129837036133,-11.698160171508789,290.80780029296875,51.55460739135742,1.7578125,3.3203125,0.0,3.3203125,0.0
20170402090000,102212.1826171875,102173.38256835938,1.8506431579589844,-11.475142478942871,290.7400817871094,51.58489799499512,1.220703125,2.2216796875,0.0,2.197265625,0.0
20170402100000,102254.96826171875,102223.1689453125,1.6451520919799805,-11.14238452911377,290.8312683105469,49.92580318450928,0.537109375,1.7578125,0.0,1.7578125,0.0
20170402110000,102291.48559570312,102263.4033203125,1.310795783996582,-10.333719253540039,290.8978271484375,50.150936126708984,1.025390625,2.197265625,0.0,2.197265625,0.0
20170402120000,102314.37377929688,102279.48608398438,0.9980401992797852,-9.230339050292969,290.98272705078125,50.92647647857666,2.001953125,3.1494140625,0.0,3.173828125,0.0
20170402130000,102309.27124023438,102271.95434570312,0.9763622283935547,-8.61079216003418,291.02197265625,50.28384828567505,1.025390625,1.904296875,0.0,1.904296875,0.0
20170402140000,102303.79638671875,102268.09692382812,1.0341978073120117,-8.18677806854248,291.140625,48.568580627441406,1.123046875,2.6123046875,0.0,2.587890625,0.0
20170402150000,102301.28173828125,102271.1181640625,1.3316173553466797,-8.289287567138672,291.17987060546875,49.001057147979736,2.5390625,7.373046875,0.0,7.373046875,0.0
20170402160000,102268.34106445312,102229.60205078125,1.6882591247558594,-7.800776481628418,291.0847473144531,49.963956356048584,3.173828125,6.201171875,0.0,6.201171875,0.0
20170402170000,102242.05932617188,102207.40356445312,1.917189598083496,-7.758949279785156,291.0,51.62245988845825,4.248046875,6.8115234375,0.0,6.787109375,0.0
20170402180000,102210.43701171875,102182.96508789062,1.5972309112548828,-7.582160949707031,290.912109375,53.44050168991089,6.34765625,8.8623046875,0.0,8.837890625,
20170402190000,,,,,,,,,,,
20170402200000,,,,,,,,,,,
20170402210000,,,,,,,,,,,
20170402220000,,,,,,,,,,,
20170402230000,,,,,,,,,,,
20170403000000,,,,,,,,,,,
20170403010000,,,,,,,,,,,
20170403020000,,,,,,,,,,,
