,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation,Downward short-wave radiation flux
20171206030000,102028.662109375,101997.36328125,-2.3120040893554688,-3.377676010131836,292.0433807373047,50.831504821777344,7.32421875,10.400390625,0.0,10.400390625,0.0,630.2919807434082
20171206040000,101975.84228515625,101939.56298828125,-1.654458999633789,-5.488269805908203,292.1290740966797,55.32412147521973,18.06640625,25.390625,0.0,25.390625,0.0,545.6325559616089
20171206050000,101982.04956054688,101950.01220703125,-2.194870948791504,-6.922163009643555,292.06211853027344,58.842519760131836,10.400390625,16.89453125,0.0,16.89453125,0.0,485.81378650665283
20171206060000,101910.79711914062,101883.07495117188,-2.362394332885742,-6.169107437133789,292.0333557128906,56.94718933105469,5.95703125,8.0078125,0.634765625,8.0078125,0.0,330.0
20171206070000,101909.05151367188,101875.73852539062,-2.2430667877197266,-4.743776321411133,292.07997131347656,53.94141960144043,4.4921875,16.845703125,8.935546875,16.845703125,0.0,137.0
20171206080000,101963.87329101562,101929.63256835938,-2.2516555786132812,-4.106527328491211,292.0614013671875,53.17822074890137,5.517578125,32.32421875,29.00390625,32.32421875,0.0,12.15625
20171206090000,102059.79614257812,102027.94799804688,-2.5140342712402344,-4.2234039306640625,292.1110534667969,53.64886474609375,7.91015625,46.142578125,64.6484375,64.6484375,0.0,0.0
20171206100000,102101.59301757812,102066.63208007812,-3.5648813247680664,-3.8275508880615234,292.0372619628906,53.87163734436035,3.955078125,73.046875,57.71484375,73.046875,0.0,0.0
20171206110000,102148.2666015625,102110.48583984375,-3.6998891830444336,-3.3053932189941406,291.9644775390625,53.934810638427734,1.85546875,56.4453125,29.78515625,56.4453125,0.0,0.0
20171206120000,102141.41235351562,102103.89404296875,-3.783916473388672,-2.893207550048828,291.90162658691406,56.04491424560547,3.125,67.87109375,6.0546875,67.87109375,0.0,0.0
20171206130000,102144.21997070312,102106.79321289062,-3.603207588195801,-2.483823776245117,291.8912048339844,57.37191390991211,5.224609375,53.02734375,0.1953125,53.02734375,0.0,0.0
20171206140000,102136.38305664062,102107.92236328125,-3.165861129760742,-2.3133163452148438,291.85804748535156,57.724891662597656,5.56640625,45.5078125,0.0,45.5078125,0.0,0.0
20171206150000,102070.8984375,102033.08715820312,-3.6958370208740234,-2.668437957763672,291.90809631347656,59.88698196411133,4.6875,57.2021484375,0.0,57.2265625,0.0,0.0
20171206160000,102014.88037109375,101980.84716796875,-4.118281364440918,-2.585285186767578,291.9184875488281,61.82080841064453,3.41796875,53.2958984375,0.0,53.271484375,0.0,0.0
20171206170000,101982.16552734375,101953.7353515625,-4.066864013671875,-2.3606510162353516,291.96868896484375,61.3513069152832,2.1484375,59.2041015625,0.0,59.228515625,0.0,0.0
20171206180000,101939.71557617188,101901.28784179688,-3.398247718811035,-2.696147918701172,292.00221252441406,62.300418853759766,1.46484375,67.5537109375,0.0,67.529296875,,
20171206190000,,,,,,,,,,,,
20171206200000,,,,,,,,,,,,
20171206210000,,,,,,,,,,,,
20171206220000,,,,,,,,,,,,
20171206230000,,,,,,,,,,,,
20171207000000,,,,,,,,,,,,
20171207010000,,,,,,,,,,,,
20171207020000,,,,,,,,,,,,
