,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20150528030000,100381.90307617188,100361.8408203125,1.6007070541381836,4.549528121948242,298.85693359375,94.86157131195068,3.90625,57.51953125,51.416015625,57.51953125,0.0
20150528040000,100300.32958984375,100275.6591796875,1.8216190338134766,4.884703636169434,298.82086181640625,94.8222246170044,12.255859375,79.98046875,16.845703125,79.98046875,0.4375
20150528050000,100320.26977539062,100301.5380859375,1.8311824798583984,3.392549514770508,298.73016357421875,95.8206558227539,33.59375,95.458984375,42.578125,95.458984375,3.5
20150528060000,100288.36059570312,100271.63696289062,1.788177490234375,1.1334214210510254,298.4918518066406,97.39242553710938,57.275390625,87.353515625,53.515625,87.353515625,5.75
20150528070000,100202.98461914062,100183.02001953125,0.5916719436645508,1.1409239768981934,298.35552978515625,98.28136444091797,41.9921875,70.99609375,86.328125,86.328125,16.9375
20150528080000,100272.12524414062,100254.43725585938,2.896890640258789,3.6313982009887695,298.51953125,95.9478874206543,52.63671875,77.9296875,87.01171875,89.16015625,15.625
20150528090000,100251.7822265625,100227.4658203125,6.989386558532715,-1.0482439994812012,298.3850402832031,95.9809741973877,72.802734375,91.943359375,91.69921875,100.0,12.75
20150528100000,100357.01904296875,100336.88354492188,5.817809104919434,-2.87434720993042,298.418212890625,94.42677307128906,43.84765625,57.71484375,57.666015625,59.47265625,0.0
20150528110000,100415.85693359375,100393.96362304688,4.940303802490234,-1.3706655502319336,298.5637512207031,94.2611312866211,21.875,53.3203125,31.494140625,53.3203125,0.0
20150528120000,100475.50048828125,100448.73046875,3.8663835525512695,-0.8684806823730469,298.5726318359375,94.67953681945801,17.333984375,49.560546875,0.0,49.560546875,0.0
20150528130000,100510.54077148438,100486.07177734375,4.489397048950195,-0.49395751953125,298.57049560546875,94.28530311584473,20.3125,36.474609375,0.0,36.474609375,0.0
20150528140000,100521.03271484375,100494.23828125,4.5878448486328125,0.02014636993408203,298.5726623535156,93.68724632263184,35.302734375,43.798828125,0.0,43.798828125,0.0
20150528150000,100497.54028320312,100470.72143554688,3.810239791870117,1.0983333587646484,298.5196228027344,94.31566047668457,66.650390625,42.041015625,0.0,66.650390625,0.0
20150528160000,100457.50122070312,100435.79711914062,3.8326196670532227,1.8593859672546387,298.49078369140625,95.440673828125,61.669921875,45.3125,0.0,61.669921875,0.0
20150528170000,100422.44873046875,100398.08959960938,4.642075538635254,1.8947491645812988,298.5304260253906,95.76962471008301,45.41015625,46.240234375,23.486328125,47.216796875,0.0
20150528180000,100423.974609375,100400.07934570312,5.053532600402832,0.9748363494873047,298.574951171875,95.54082679748535,44.775390625,43.9453125,43.115234375,47.265625,
20150528190000,,,,,,,,,,,
20150528200000,,,,,,,,,,,
20150528210000,,,,,,,,,,,
20150528220000,,,,,,,,,,,
20150528230000,,,,,,,,,,,
20150529000000,,,,,,,,,,,
20150529010000,,,,,,,,,,,
20150529020000,,,,,,,,,,,
