,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20170927030000,100891.99829101562,100860.29052734375,6.353673934936523,-0.09802913665771484,302.055419921875,85.4107723236084,27.34375,23.828125,51.66015625,51.66015625,0.0
20170927040000,100855.32836914062,100820.07446289062,6.221630096435547,0.036586761474609375,302.1315612792969,86.7448902130127,19.82421875,23.095703125,37.6953125,37.6953125,0.0
20170927050000,100834.29565429688,100809.814453125,6.490715026855469,-0.5496988296508789,302.193359375,85.7963285446167,42.67578125,21.337890625,24.70703125,42.67578125,0.03125
20170927060000,100764.74609375,100736.03515625,6.411334991455078,-0.8018741607666016,302.25006103515625,84.41439151763916,25.09765625,22.900390625,13.0859375,26.46484375,0.0
20170927070000,100763.78173828125,100732.28149414062,6.209216117858887,-1.5199851989746094,302.25152587890625,82.32316780090332,23.33984375,31.7626953125,32.6171875,39.6484375,0.0
20170927080000,100795.12939453125,100768.92700195312,5.633030891418457,-1.8704662322998047,302.1963806152344,80.6469841003418,22.021484375,31.396484375,52.734375,52.734375,0.0
20170927090000,100811.767578125,100777.21557617188,5.118091583251953,-1.5350770950317383,302.0902099609375,80.96491241455078,22.607421875,26.611328125,33.7890625,35.3515625,0.0
20170927100000,100821.13037109375,100789.99633789062,4.9488983154296875,-1.1430854797363281,302.09625244140625,81.54333877563477,26.46484375,31.0791015625,46.923828125,46.923828125,0.0
20170927110000,100859.86328125,100829.68139648438,4.878316879272461,-1.0578784942626953,302.110107421875,82.15656661987305,24.267578125,39.1357421875,60.595703125,60.595703125,0.0
20170927120000,100906.48193359375,100881.74438476562,5.165627479553223,-1.2773284912109375,302.1214904785156,82.92015266418457,35.7421875,45.068359375,83.154296875,83.154296875,0.0
20170927130000,100911.90795898438,100884.2041015625,5.1298723220825195,-1.0110721588134766,302.0689392089844,84.5263843536377,29.248046875,44.482421875,89.306640625,89.306640625,0.0
20170927140000,100898.583984375,100872.44873046875,5.1877641677856445,-1.0724468231201172,302.0469055175781,85.23309898376465,26.46484375,37.1826171875,86.1328125,86.1328125,0.0
20170927150000,100867.31567382812,100831.90307617188,5.444797515869141,-1.4220771789550781,302.02374267578125,85.05541801452637,30.17578125,29.9560546875,81.982421875,81.982421875,0.0
20170927160000,100826.15356445312,100797.22290039062,5.539938926696777,-1.7163772583007812,301.9518737792969,84.32974052429199,23.14453125,27.6123046875,42.578125,42.578125,0.0
20170927170000,100784.75952148438,100757.33642578125,5.566144943237305,-1.3842906951904297,301.8533630371094,84.22869682312012,24.4140625,28.8330078125,47.998046875,47.998046875,0.0
20170927180000,100751.62353515625,100719.08569335938,5.6786651611328125,-1.4888229370117188,301.7890625,85.15479850769043,35.791015625,32.2265625,42.28515625,42.822265625,
20170927190000,,,,,,,,,,,
20170927200000,,,,,,,,,,,
20170927210000,,,,,,,,,,,
20170927220000,,,,,,,,,,,
20170927230000,,,,,,,,,,,
20170928000000,,,,,,,,,,,
20170928010000,,,,,,,,,,,
20170928020000,,,,,,,,,,,
