,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation,Downward short-wave radiation flux
20171219030000,102450.73852539062,102415.6005859375,-4.342778205871582,-6.163236618041992,291.89060974121094,71.4814338684082,13.8671875,67.3828125,47.2412109375,67.3828125,0.125,160.26451110839844
20171219040000,102516.00952148438,102479.77294921875,-4.158080101013184,-6.107355117797852,291.17250061035156,75.58981800079346,24.267578125,70.361328125,74.853515625,75.09765625,0.078125,174.53059768676758
20171219050000,102343.02368164062,102315.80200195312,-5.17365837097168,-5.498937606811523,290.9737854003906,76.48493957519531,21.09375,64.892578125,30.17578125,64.892578125,0.0,155.4100341796875
20171219060000,102337.95776367188,102303.2958984375,-4.751133918762207,-4.5987701416015625,291.11012268066406,74.71505928039551,23.4375,50.439453125,45.99609375,50.439453125,0.0,128.17765364795923
20171219070000,102355.16967773438,102320.67260742188,-4.542750358581543,-5.358097076416016,291.29270935058594,74.34622192382812,25.830078125,61.328125,0.0,61.328125,0.33984375,54.375
20171219080000,102402.74658203125,102364.95361328125,-4.627378463745117,-6.283105850219727,290.7095031738281,79.45094108581543,34.86328125,64.404296875,0.0,64.404296875,0.48046875,7.65625
20171219090000,102498.71826171875,102472.16186523438,-5.549223899841309,-5.899875640869141,290.33624267578125,82.98320198059082,59.619140625,66.8701171875,0.0,66.89453125,0.68359375,0.0
20171219100000,102520.5810546875,102490.66162109375,-4.737954139709473,-9.03378677368164,291.2568359375,76.23133277893066,30.419921875,50.87890625,42.48046875,50.87890625,0.0,0.0
20171219110000,102541.14990234375,102507.04345703125,-4.1437788009643555,-9.877960205078125,291.78233337402344,70.2889404296875,23.291015625,51.5380859375,46.875,51.513671875,0.0,0.0
20171219120000,102533.38623046875,102504.21142578125,-4.605958938598633,-10.160345077514648,291.54420471191406,74.87604331970215,32.12890625,48.0224609375,0.0,47.998046875,0.0,0.0
20171219130000,102502.734375,102472.81494140625,-5.532923698425293,-9.013444900512695,291.54405212402344,73.10988807678223,40.72265625,46.9482421875,0.0,46.923828125,0.0,0.0
20171219140000,102497.16186523438,102463.57421875,-5.404385566711426,-8.202728271484375,291.60638427734375,70.02082443237305,33.837890625,42.138671875,0.0,42.138671875,0.0,0.0
20171219150000,102489.64233398438,102458.7158203125,-5.497666358947754,-7.138273239135742,291.60154724121094,68.14662170410156,32.177734375,59.765625,0.0,59.765625,0.0,0.0
20171219160000,102504.26635742188,102471.47827148438,-5.444330215454102,-6.648664474487305,291.36961364746094,69.97484970092773,24.365234375,52.24609375,0.0,52.24609375,0.0,0.0
20171219170000,102511.16333007812,102482.36083984375,-5.1627960205078125,-6.511587142944336,291.1088409423828,72.13682556152344,20.8984375,52.001953125,0.0,52.001953125,0.0,0.0
20171219180000,102481.5185546875,102443.7255859375,-4.482330322265625,-7.505361557006836,291.3055725097656,70.28851699829102,17.138671875,52.978515625,31.591796875,52.978515625,,
20171219190000,,,,,,,,,,,,
20171219200000,,,,,,,,,,,,
20171219210000,,,,,,,,,,,,
20171219220000,,,,,,,,,,,,
20171219230000,,,,,,,,,,,,
20171220000000,,,,,,,,,,,,
20171220010000,,,,,,,,,,,,
20171220020000,,,,,,,,,,,,
