,Pressure reduced to MSL,Pressure,u-component of wind,v-component of wind,Temperature,Relative humidity,Low cloud cover,Medium cloud cover,High cloud cover,Total cloud cover,Total precipitation
20170125030000,102778.57666015625,102762.38403320312,-3.750779151916504,-4.015783309936523,290.49058532714844,51.25167942047119,11.42578125,27.5390625,0.0,27.5390625,0.0
20170125040000,102650.10375976562,102630.92651367188,-2.7121047973632812,-3.915029525756836,290.6455383300781,49.53913402557373,10.15625,46.875,0.0,46.875,0.0
20170125050000,102584.423828125,102563.0126953125,-2.160259246826172,-4.684879302978516,290.79432678222656,50.26165294647217,9.27734375,48.193359375,0.0,48.193359375,0.0
20170125060000,102562.57934570312,102543.359375,-2.1188573837280273,-5.7385663986206055,290.8796081542969,52.44729709625244,8.740234375,48.53515625,0.0,48.53515625,0.0
20170125070000,102545.81298828125,102527.9541015625,-2.817197799682617,-5.960442543029785,290.9095153808594,52.9440803527832,9.033203125,60.64453125,0.0,60.64453125,0.0
20170125080000,102584.47875976562,102558.03833007812,-3.0010910034179688,-5.316059112548828,290.8351745605469,53.166836738586426,9.912109375,55.810546875,0.0,55.810546875,0.0
20170125090000,102622.47314453125,102605.11474609375,-3.395358085632324,-4.601258277893066,290.76988220214844,53.01053237915039,5.419921875,52.099609375,7.2021484375,52.099609375,0.015625
20170125100000,102665.673828125,102644.775390625,-3.742894172668457,-4.207605361938477,290.5995330810547,54.85939979553223,6.54296875,46.6796875,11.0595703125,46.6796875,0.015625
20170125110000,102674.7802734375,102657.53173828125,-3.887026786804199,-3.7214927673339844,290.56459045410156,54.21567726135254,2.05078125,50.87890625,18.798828125,50.87890625,0.0
20170125120000,102673.94409179688,102649.853515625,-4.164431571960449,-4.725571632385254,290.3748016357422,58.08198165893555,0.537109375,65.0390625,43.6767578125,65.0390625,0.0
20170125130000,102646.78344726562,102628.72924804688,-3.8787612915039062,-4.582066535949707,290.2284393310547,58.83503532409668,2.294921875,46.97265625,16.2353515625,46.97265625,0.046875
20170125140000,102616.259765625,102596.86279296875,-3.4573001861572266,-5.337179183959961,290.1550598144531,60.06385040283203,3.173828125,57.421875,18.9208984375,57.421875,0.015625
20170125150000,102601.08642578125,102582.06176757812,-3.5558624267578125,-5.211584091186523,290.34649658203125,59.8779354095459,6.005859375,57.373046875,73.3154296875,73.33984375,0.02734375
20170125160000,102561.87133789062,102536.70043945312,-3.7676305770874023,-6.310494422912598,290.29998779296875,63.81614112854004,6.494140625,52.197265625,46.6796875,53.02734375,0.0546875
20170125170000,102572.25341796875,102548.40087890625,-3.6485328674316406,-7.26102352142334,289.92738342285156,70.28842735290527,6.4453125,69.677734375,84.521484375,84.521484375,0.10546875
20170125180000,102540.64331054688,102516.63208007812,-3.2853384017944336,-7.848442077636719,290.0204772949219,68.52173328399658,15.185546875,59.228515625,46.09375,60.205078125,
20170125190000,,,,,,,,,,,
20170125200000,,,,,,,,,,,
20170125210000,,,,,,,,,,,
20170125220000,,,,,,,,,,,
20170125230000,,,,,,,,,,,
20170126000000,,,,,,,,,,,
20170126010000,,,,,,,,,,,
20170126020000,,,,,,,,,,,
